stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,318.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.29,421.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.13,0,17.14,0,0,0,0,0,0,0,0,0,0
  7-9,7.08,18,0,21.87,0,0,0,74.18,0,0,0,0,0,15.41,0,0,0,0,0,0,0,0,0,0,0,392.47,4.43,0,0,109.06,0,0,5.28,0,0,0,0,0,0,0,0,0
 10-12,0,39.31,0,24.56,0,27.17,0,60.53,0,0,0,0,0,8.96,0,0,0,0,0,0,0,0,0,0,0,530.11,17.62,0,0,186.88,0,0,0,0,24.91,0,0,0,0,0,0,0
 14-21,0,0,0,3.85,12.39,2.63,0,0,0,0,0,8.22,0.85,0,0,0,0,0,0,0,0,4.03,0,0,14.05,131.5,2.25,0.83,6.6,1.77,0,0,0,5.78,2.21,0.84,7.48,38.61,0,2.1,0,0
 24-34,0,0,0,2.7,11.21,1.22,0,31.67,0,0,0,4.22,1.22,0,1.94,0,0,0,1.09,0,11.43,19.27,0,0,4.55,313.85,1.41,5.65,2.05,0,0,4.68,0,0,2.06,0,3.28,61.44,0,4.89,0,0
 36-46,0,0,0,0,15.29,0.79,0,46.27,1.68,7.62,1.63,13.79,0.72,0,0,0,0,0,0,0,0,19.31,0,0,11.83,342.51,0,8.45,4.54,0,0,7.82,0,0,0,0,0,64.5,0,12.47,0,0
 48-58,0,0,0,0,4.42,1.73,0,116.27,0,0,0,18.99,0,1.27,0,0,0,2.21,0,2.1,0,26.08,0,0,1.06,321.04,11.24,0,4.49,0,0,9.14,0,0,0,0,0,53.82,0,2.11,0,0.55
 60-70,0,0,1.76,0,4.9,0,0,202.97,1.27,14.48,0,25.4,0.68,0,0.69,0,0,0,1.13,0,0,25.19,0,10.62,0.59,377.72,0,2.77,3.45,0,0,6.7,0,0,1.68,0,0,42.05,0,0,1.79,0
 72-82,0,0,0,0,1.79,2.43,0,131.46,0.75,0.53,0.69,23.33,0,0,0.75,0,0,0,0.79,1.79,0,36.85,1.87,0,0.68,186.62,0,0.81,1.42,0,0,1.75,0,0,0,0,0,43.22,5.15,1.98,1.28,7.89
 84-94,0,0,2.22,0,11.13,3.19,0,117.23,1.33,4.53,3.14,8.28,0.81,0,0,3.11,1.32,0,0,0.67,3.13,38.55,0.93,0,1.84,151.29,0.61,4.81,0,0,0,6.49,0,0,0,0,0,27.21,0.88,16.43,0,5.88
 96-106,0,0,0,0,2.21,0,0,78.48,0,0,0,20.7,0.66,0,0,0,0,0,0,0,0,27.82,6.04,5.43,0,100.92,0,7.09,0,0,0,7.07,0,0,0,0,0,17.35,0,2.12,2.18,0
108-118,0,0,0,0,2.26,1.22,1.76,64.88,0,1.69,0.56,7.73,0,0,0,0.6,0,0.42,0,0,0,24.71,0.77,3.62,0.7,126.31,0,2.56,3.89,0,3.16,2.65,0,0,1.93,0,0,5.48,0,2.08,0,0
120,0,0,0,0,23.55,0,0,117.99,0,6.93,0,28.52,0,0,0,0,2.19,0,2.89,0,0,32.21,0,2.35,1.7,311.61,0,0,0,0,0,7.06,0,0,3.15,0,0,16.53,0,8.27,0,3.6
