stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,21.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0
  5-6,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,34.03,0,0,7.09,0,0,0
 10-12,0,13.63,0,0,0,0,0,0,0,0,0,0,13.23,12.08,0,9.82,0,0,0
 14-21,0,0,1.13,39.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,10.74,0,2.26,0,0,2.59,0,0,0,6.32,0.81,0.72,0,0.82,0,4.74
 36-46,0,0,0,4.72,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,2.57
 48-58,0,0,0,6.05,0,4.33,0,0,6.28,0,1.62,0,1.74,0,0,0,2.11,0,0.44
 60-70,0,0,0,10.7,0,9.38,8.66,0,2.13,0.71,1.32,0,1.97,0,0,0,0,1.19,1.11
 72-82,0,0,0,181.53,0,5.02,1.06,0,7.05,0,3.38,0,5.05,0,0,0,0,0,4.27
 84-94,0,0,0,123.21,0,7.49,0,0.99,20.74,0,3.14,0,12.57,1.8,0,0,0,1.28,6.47
 96-106,0,0,0.86,132.56,0,1.07,2.79,0,17.64,0,6.83,1.66,0,0,0,0,0.62,3.05,4.11
108-118,0,0,0.83,121.5,0,3.36,4.76,0,30.35,0,0.53,0,12.46,0,0,0,0,0,2.81
120,0,0,0,93.44,5.3,0,0,0,37.66,0,2.32,0,10.76,0,0,0,0,0,7.2
