stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  3-4,75.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.48,0,0,0,0,0,0,0
  5-6,41.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.42,0,0,0,9.48,0,0,0,0,0,0,0,0,0
 10-12,0,9.77,0,0,0,9.54,0,0,0,0,0,0,0,0,0,0,0,0,11.89,19.56,0,0,18.71,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0.87,0.88,0,1.37,0,0,0,0,0,13.38,1.69,1.76,0,0,0
 24-34,0,0,0,0,0,0,8.32,0,0,0,0,0,0,0,0,0.6,0,4.22,15.2,0,0,0,0,0,0,0,1,2.82,0.65,0,0,0
 36-46,0,0,0,0,0,0,6.04,0,0,0,1.05,0,0,0,0,0,0,1.05,14.66,0,0,0,0,0,0,0,2.53,1.18,1.09,0,0,0
 48-58,0,0,0,0,0,2.58,14.07,0,0,0,0,0,0,0,0,0,0,5.62,18.09,0.79,0,0,0,0,0,0.52,4.87,0,3.57,0,0,0
 60-70,0,0,0,0,0,6.83,55.62,0,0,0,0,0,0,0,0,3.29,0,24.19,10.06,0,0,0,0,0,0,0,2.73,0,1.69,0,0,0
 72-82,0,0,0.87,0,0,23.58,135.52,0,2.36,0,0,3.87,0,0,0,20.63,2.02,18.78,15.86,0,0,0,0,0,2.29,0,7.77,0,0,0,0,5.15
 84-94,0,1.04,1.54,0,0,14.3,288.75,1.43,0.69,3.07,0,0.99,2.18,0.67,1.03,15.27,0,33.6,8.72,0,0,0,0,0,3.77,0,1.83,0,1.27,2.75,6.62,10.33
 96-106,0,0,9.34,10.72,0,27.96,373.93,0,5.46,1.38,0.73,4.23,0,0,2.32,34.9,1.76,29.41,70.24,0,1.31,3.16,0,0,7.29,0,2.66,0,15.31,0,1.03,7.15
108-118,0,0,0,0.94,0.44,29.26,377.96,0,4.77,0,0,8.23,0,0,0,15.12,2.45,40.45,32.4,1.18,0,0,0,5.08,4.39,0,1.93,0,0,0,1.09,0
120,0,0,1.48,0,0,23.97,245.97,0,2.33,0,0,20.66,0,0,0,17.63,0,9.19,39.54,0,0,0,0,0,0,0,2.89,0,0,0,0,0
