stage,blastomeres,eye,melanocytes,mesenchyme,mural.cell,neural,periderm
  5-6,35.2,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.87,0
 14-21,0,0,0,1.15,0,0,0
 24-34,0,0,0,0,0,1.89,0
 36-46,0,0,0,0,0,2.24,0
 72-82,0,0,0,0,0.92,4.67,0
 84-94,0,5.57,0,0,0,2.34,0.58
108-118,0,0,1.02,0,0,0,0
