stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,82.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.12,0,0,0,0,0,0,0
  5-6,13.18,159.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1,0,0,0,0,7.75,0,0,0,0,0,0,0
  7-9,4.36,0,9.57,0,0,0,0,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0,44.64,5.59,0,0,6.82,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.88,0,0,0,5.38,0,4.37,0,0,0,0,0,0
 14-21,0,0,0,2.9,4.58,0,2.2,0,0,0,2.62,1.05,0,0,0,0,0,0,0,0,0,21.18,0,0,0.94,0.88,2.05,0,1.66,1.14,7.39,0,0,0
 24-34,0,0,0.6,0,0,0,2.29,0,0,0,8.06,0,0,0,0,0,0,0,1.85,0,0,139.85,0,2.67,0,0,0,0,1.13,0,27.77,6.14,0,0
 36-46,0,0,0,0,0,0,5.27,0,0,0,13.6,0.56,0,0,0,0,0,0,2.71,0,0,244.17,0,3.84,0,0,0,0,0,0,40.3,10.04,0,1.47
 48-58,0,0,0,1.85,1.93,0,18.22,0,0,7.48,21.16,1.23,0,0.67,0,0,0,0,3.62,0,0,318.79,0,4.17,0,9.55,0,0,0,0,46.26,17.38,0,0
 60-70,0,0,0,0.85,0,0,33.81,0,0,0,3.75,0,0,0.75,0,0,0,1.34,3.55,0,0.92,347.96,0,0,0,0,0,0,0.59,0,48.29,3.19,0,0
 72-82,0,0,0,0.83,0,0,41.26,0,0,0,10.21,0,0,0,0,0,1.05,0.5,2.6,0,0,316.67,0,0,0.67,0,0,0,0.73,0,11.46,20.6,0,0
 84-94,0,0,0,0.59,0,0,67.74,0,4.74,0,9.63,4.11,0,0,0,0,0.66,2.07,1.53,4.09,0,169.62,0,1.89,0,0,0,0,0,0,23.18,17.87,2.23,0
 96-106,0,0,0,0,1.72,0.6,31.4,0,0,0,12.3,1.08,0,0,0.56,0,1.19,0,12.7,0,0,159.71,0,3.55,0.66,0,0,0,0.73,0,1.46,8.78,0,0
108-118,0,0,0,0,0,2.51,18.1,0,0,0,5.41,4.82,0,0.89,0.42,4.15,0.95,5.17,1.37,0,0,126.44,0,0.52,0.49,0,0.97,0,1.38,0,7.43,16.72,0,1.42
120,0,0,0,14.33,0,0,45.96,2.29,0,9.22,0,8.31,0,0,0,0,0,0,4.47,0,0,111.08,0,0,15.98,0,0,0,0,0,0,22.24,0,0
