stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,27.36,640.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.31,1039.92,0,0,0,0,0,0,0,0,0,0,0,0,0,51.98,0,0,0,6.56,26.14,0,0,0,0,0
  7-9,33.5,17.04,34.62,0,0,77.57,0,0,4.72,0,0,0,0,0,0,495.78,23.67,0,0,131.11,0,0,0,0,0,0
 10-12,0,40.99,27.05,0,0,29.92,0,0,19.25,0,0,0,0,0,0,627.08,25.34,0,0,199,11.19,0,38.23,0,0,0
 14-21,0,0,0,12.07,2.05,3.25,0,0,0,0,2,0,2.58,0,1.93,17.74,0,0,1.38,1.3,0,4.65,0,3.19,6.43,0
 24-34,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0.82,15.44,0,0,0,0,0,0,0,3.23,2.06,1.44
 36-46,0,0,0,1.28,0,6.46,0.61,0,0,0,0,0,0,0,0,8.27,0,0,0,0,8.81,0,0,0,1.48,0
 48-58,0,0,0,0,0,3,0,1.68,0,0,0,0,0.8,0,0,9.07,0,0.38,0.44,0,4.17,0,0,0,1.41,0
 60-70,0,0,0,0,0,2.99,0,0,0,0,0,0,6.02,0,0,23.57,0,0,1.74,0,1.74,0,0,0,1.93,0
 72-82,0,0,0,0.59,0,9.09,0,0.56,0,1.88,0,1.23,1.11,0,1.15,5.06,0,0,1.04,0,0,0,0,0,0,0.79
 84-94,0,0,0,0,0,5.14,0,1.32,0,0.7,1.95,0,0.55,0,0,7.01,0,0,0,0,3.95,0,3.73,0,1.23,0
 96-106,0,0,0,1.66,1.92,5.89,0,2.98,0,3.08,0,0,2.32,0,0,7.3,0,1.2,0,0,0.66,0,0,0,0,0
108-118,0,0,0,0,0,0.56,0,0,0,1.09,0,0.45,1.32,0.43,0,12.88,0,0,0,0,0,0,0,0,0,1.07
120,0,0,0,5.51,0,0,0,7.84,0,0,0,0,0,0,0,5.85,0,0,0,0,0,0,0,0,0,0
