stage,blastomeres,erythrocytes,eye,glial,gut,iridophores,mesenchyme,mural.cell,neural,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,9.4,0,0,0,0,0,0,0,0,0,25.02,0,0,0
  5-6,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.24,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0
 24-34,0,0,3.05,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,1.58,0,0,0,0,0,0.59,0,0,0,0,0
 48-58,0,0,0.79,0.62,0,0.38,0,0,0.84,0,0,0,0,0
 60-70,0,0,5.01,4.26,0,2.77,0,0,1.12,0.57,0,0,0,0
 72-82,0,0,1.34,7.05,0,0,1.75,0.75,0,0,0,0,0,0
 84-94,0,0,5.86,0,0,1.02,0,0,0,0,1.79,0,0,0
 96-106,0,0,11.5,5.46,0,2.09,0,0,0,0,0,0,0,0.93
108-118,0,3.2,22.45,2.82,0,5.13,0,0,0.6,0,0,0,2.15,0
120,0,0,7.45,5.02,1,3.01,0,0,5.74,0,0,0,2.2,0
