stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,92.63,1656.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.08,0,0,0,0,0,0,0,0,0
  5-6,30.21,337.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.71,4.37,0,0,0,0,7.01,0,0,0,0,9.45,0,0,0,0,0,0,0,0,0,0,0,134.97,7.84,0,0,80.71,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.43,0,32.15,0,15.21,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,3.87,424.39,4.1,0,0,135.6,0,0,0,0,9.95,0,5.05,0,0,0,0
 14-21,0,0,0,0,24.92,7.58,18.76,0,0,7.84,0,0,0,0,0,0,0,0,0,18.54,0,0,9.04,301.62,10.17,1.69,7.15,0,0,6.91,0.9,25.81,2.6,1.01,24.53,81.39,0,7.75,0
 24-34,0,0,0,0,7.06,3.77,45.47,0.7,0,12.43,0,0,0.62,0,0.73,0,0,0,1.37,41.73,0,0,11.67,495.81,0,1.58,3.4,0,0,13.54,0,0,0.83,0,0,110.46,0,16.72,0
 36-46,0,0,0,0,0,0,83.17,0,0,3.76,0,0,0,2.6,0,0,0,0,9.57,44.27,0,0.71,13.57,284.41,0,4.67,0,0,0,10.6,0,0,0,0,0,70.79,0,4.62,0.67
 48-58,0,0,0,0,3.17,2.22,105.48,3.67,0.48,13.59,0,0,2.47,1.09,0,0,0.41,0.37,4.3,47.66,0,4.39,5.39,165.44,0,1.69,1.52,0,0,0.95,0,0,0,0,0,30.99,0,3.12,5.34
 60-70,0,0,0,0,3.58,0,72.9,1.49,0.86,8.84,2.36,0,0.66,0,0,1.55,0,0,0,31.04,0,2.9,4.08,93.94,4.78,0,0,0,0,0.75,0,0,0,0,0,2.82,0,7.94,0
 72-82,0,0,0,0,1.88,0,24.18,0,0,11.15,0.53,0,1.16,0,0,0,0,0,0,46.65,0.56,1.78,2.53,74.84,1.26,2.36,1.63,0,0,1.02,0,0,0,0,0,2.57,0,6.19,0
 84-94,0,0,0,0,7.02,0.83,25.39,0,0.65,10.49,0.73,0,0,1.43,0,0,0,0,0,52.67,0,1.57,8.92,70.59,0,0,0.64,0,0,4.57,0,0,0,0,0,0,0,4.84,2.44
 96-106,0,0,0.99,0,5.17,0,28.59,0,0,4.09,1.46,0,0,6.11,0,0,0,0,0.79,19.5,0,0,1.1,44.56,0,0,0.64,0,0,6.06,0,0,0.6,0,0,0.84,0,2.01,0
108-118,0,0,0,0,8.54,3.13,24.86,1.02,0.93,23.56,3.47,0,0.93,1.9,0,1.31,0,0,0,20.62,0,3.44,6.71,77.57,0,2.77,4.71,0,0,5.51,0,0,0,0,0,0.71,0,1.65,0
120,0,0,0,0,2.62,4.36,29.02,0,0,25.03,5.59,0,0,7.87,0,0,0,1.5,0,6.68,0,0,9.54,114.38,2.24,0,4.93,0,4.59,1.59,0,0,0,0,0,0,1.81,7.02,0
