stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.95,295.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.88,0,0,0,0,0,0,0,0,0
  5-6,7.99,171.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.98,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,18.9,0,0,0,8.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.99,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15,0,0,0,7.09,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.07,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.94,0,0,0,0,0,2.75,0.91,0,0,6.83,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0.66,0,0,0,1.49,0,0,6.3,149.21,0,5.21,0,0,0,0,0,0,0,41.59,0,0,7.28,0,0
 36-46,0,0,0,0,0,0,0,12.02,0,0,0,0,0,0,0,0,0,0,4,1.35,0,0,322.1,14.52,1.69,0,0,0,4.63,0,0,0,102.67,0,0,6.32,0,0
 48-58,0,0,0,0,0,0,0,29.2,0,0,4.26,0,0,0.42,13.53,0,0.7,0,4.13,0,0.37,0.73,696.83,0,3.53,0,0,0,0,0,0,1.13,124.41,0,0,8.4,0,7.64
 60-70,0,0,0,0,0,0,0,65.65,0,0,11.9,0,0,0,0.86,0,0,0,37.58,0.65,0,0,1229.99,0,12.19,0,0,0,0,0,0,0,161.25,0,0,8.4,0,0
 72-82,0,0,0,0,10.19,0.61,0,121.02,0.78,0,38.79,0.65,0,0,0,0,0,1.24,12.11,0,2.36,1.73,1363.11,0,6.44,0,0,0,0.95,0,1.99,0.79,180.18,1.16,1.23,23.66,0,15.48
 84-94,0,0,0.56,0,6.94,0.88,0,165.12,0,14.31,23.92,0,0,0,3.07,1.32,0,0,4.91,0,0,3.58,910.24,4.04,8.17,0.6,0,0,0.83,0,0,3.45,95.85,0,0,22.47,0,5.82
 96-106,0,0,0.83,0,2.06,14.78,0,147.39,3.35,0,32.1,0.85,1.55,1.64,1.08,0,0,0,12.07,0,1.32,4.09,831.38,0.71,3.93,1.16,0,1.51,0,0,0,1.18,44.51,0,1.34,25.54,2.54,0
108-118,0,0,0,0,8.84,16.69,3.4,163.2,3.23,0,38.5,0,0.8,0,0,0,0,0,9.97,0,0,1.84,987.79,0,3.96,10.19,0,0,3.59,0,0,4.06,56.18,0,0,17.5,2.72,0
120,0,0,0,0,1.49,2.15,0,137.62,5.73,0,30.92,0,0,0,2.21,0,0,17.18,11.85,0,0,8.58,1743.37,0,6.91,0,0,0,0,0,0,0,89.5,0,0,3.95,0,0
