stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,38.54,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.64,0,0,0,16.5,0,0,0,0,0,0,0,0,0
 14-21,0,2.46,728.12,0,0,0,0.87,0,0,0,2,0,0,7.8,0,0,0,0.9,0,0.89,28.44,0,0,0,0,0,1.67,0,2,1,0,0,0,0
 24-34,0,0,498.66,1.04,0,2.2,37.72,0,0,0,0,24.09,7.52,2.72,3.01,0,11.48,6.58,0,2.09,71.63,0.63,0,0,0,0,4.34,1.7,0,5.67,0,2.3,0,0
 36-46,0,0,351.78,0,0,0,20.4,0,0,0,0,19.92,0,4.93,8.81,0,2.92,0,0,0,45.75,0.57,1.5,0,0,0,15.27,3.82,0,2.59,0,0.72,0,0
 48-58,0,0,281.45,0,0,12.39,40.91,0.81,5.86,0,0,14.79,0,0.57,6.85,0,6.88,6.17,0,0.54,39.79,0,0.58,11.75,0,0,1.81,1.89,0,7.72,0,0,0,0
 60-70,0,0,283.61,0,0,21.56,22.64,0.84,4.31,0,0,6.02,0,0,19.26,0,37.12,3.12,0,0,25.99,0,0,20.43,0,0.84,15.38,10.17,0,4.88,0,0,0,6.52
 72-82,0,0,248.5,0,0,38.38,26.23,4,11.15,1.2,0,5.76,0,0,13.35,0,144.16,1.73,2.05,0.75,39.69,0,0.88,43.92,0,0,0.96,3.96,0,4.67,3.54,5.39,0,1.53
 84-94,0,0,387.18,0,0,9.55,55.4,3.15,0.89,0,0,0,0,1.68,10.54,0.96,182.03,1.37,0,0,2.79,0,0.73,9.35,0,0,0.97,10.56,0,0,6.71,16.34,0.98,0
 96-106,0,0,414.18,4.28,0,26.59,60.51,0,13.1,0.71,0,0.72,0.96,0,22.04,11.25,336.1,9.62,0,1.55,21.53,0,0,40.16,0,0,12.83,30.7,0,0,11.62,13.62,0,0
108-118,0,0,563.44,5.07,0,13.16,97.75,5.96,10.41,3.03,0,1.5,1.34,0.89,21.35,2.81,429.32,3.41,1.32,9.98,66.65,0,0,13.19,0,4.36,0.63,16.85,0,0,15.42,6.02,0,3.36
120,0,0,539.24,6.81,2.68,21.58,87.31,10.67,0,1.68,0,4.46,0,0,6.15,14.17,316.3,6.13,0,4.33,12.05,0,0,2.92,0,0,0,14.18,0,0,14.71,0,0,0
