stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,25.87,230.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.51,122.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.9,0,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,25.07,0,4.74,0,0,0,0,0
 10-12,0,0,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,0,14.41,0,0,0,0,0
 14-21,0,0,0,5.77,0,0,0,0,0.84,0,0,0,0,0,0,0,27.71,0,0,1.87,0,5.52,0,0
 24-34,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0.64,7.17,0,0,0,0.67,3.25,0,0
 36-46,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,5.48,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,2.49,0,0.76,0,2.77,0,0,0,0.56,0,0,11.19,0,0,0,0,2.58,0,0
 60-70,0,0,0,0,0,13.26,0,1.05,0,0,0,0,0,3.48,3.35,0,20.5,0,0,0,0,2.67,0,0
 72-82,0,0,0,0,0,8.05,2.2,2.43,0,0,0,0,0,0,0.92,0,2.45,0,0,0,0,1.19,0,8.32
 84-94,0,0,0,0,1.48,1.17,0,0,0,0,0,0,0,0,0.9,0,1.99,0,0,0,0,0.75,0,0
 96-106,0,0,0,0,0,3.75,0,0,0,0,0,1.12,0,0,2.6,1.33,8.09,0,0,0,0,0,0,0
108-118,0,0,0,1.12,0,10.22,0,0,0,0,0.44,0,0,0,1.69,0,11.04,0,0,0,0,2.92,1.79,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,22.33,1.15,0,0,0,0,0,0
