stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,229.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,229.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.04,0,115.97,0,0,9.31,0,0,0,0,0,5.23,0,0,0,0,0,0,0,0,0,0,68.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,326.98,0,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,0,0,0,0,124.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.63,0,1.7,0,0.87,0,1.6,1.86,0,0,0,0,0,3.13,0,5.75,0,0,0.84,28.02,3.25,0,0,0,1.11,0,1.09,8.15,4.3,0,0,0,0,0
 24-34,0,0,0,152.9,0,3.42,2.59,0,0,3.1,0,0,0,0.65,0,0,0,0,14.86,0.63,0,1.22,79.09,5.44,0,3.39,0,18.39,0,0,8.85,23.12,0,0,0.71,0,0
 36-46,0,0,0,319.99,0,0.65,5.47,6.86,0,10.11,0,0,0,0,0,0,0,1.47,6.12,3.74,0,1.4,45.33,0,0,2.42,0,19.82,0,0,0,12.84,0,0,1.67,0,0
 48-58,0,0,0,547.63,0,14.87,2.5,45.09,0,57.9,0,0,0,0,1.14,0.65,4.53,1.32,43.22,5.69,1.95,1.79,110.82,0,0.9,16.39,0,11.64,0,0,0,43.86,0,0,0,0,0
 60-70,0,0,0,587.91,0,10.64,0,64.48,0,149.25,0,3.43,0,0,0,0.77,0,1.24,145.78,11.46,0,9.62,147.78,0,0.88,30.1,0,23.02,0,3.15,0,72.91,0,1.19,0,0.57,0
 72-82,0,0,0,608.2,18.53,19.9,1.57,75.52,2.52,217.39,0,0,0,1.81,6.5,0.79,0,0,125.09,7.63,1.51,2.33,130.78,0,2.02,41,0,6.37,0,0,0,37.25,12.57,0,1.96,0,0
 84-94,0,0,0,1339.17,0.64,25.05,0.76,157.68,0,146.88,1.8,0,0,1.44,0.65,0,0,7.72,99.13,16.6,0,0,84.77,0,1.34,28.75,0,11.99,0,0,0,25.93,26.05,0,0,0.93,7.91
 96-106,0,0,0,1048.07,15.06,24.62,0,88.13,9.53,351.04,4.7,0,0.85,3.76,0,0,0,0,79.11,15.34,0,2.26,104.33,0.7,5.03,39.96,1.03,6.69,0,0,0,103.05,16.99,0.69,0,1.77,0
108-118,0,0,0,1213.62,5.64,13.21,0,165.63,0,328.22,4.56,0,2.41,1.03,1.29,0,0,0,43.7,11.87,4.41,0.57,76.16,0.43,4,32.38,0,10.86,0.59,0,0,40.47,28.79,1.09,3.45,1.05,1.94
120,0,0,0,737.05,0,21.71,0,69.98,0,163.91,0,5.2,0,4.88,0,0,0,0,32.52,8.34,0,0,100.1,0,0,26.84,5.29,1.1,0,0,0,10.04,14.58,0,0,0,0
