stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,8.61,0,8.29,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,0,0,0,0,0,0,0,0,0
 14-21,0,2.2,4.26,0.84,0,0,0,0,0,0,8.51,0,8.7,21.98,5.43,0,0,2.72,0,0.84,2.59,6.1,1.08,0,0
 24-34,0,3.37,0,2.07,0,0,1.36,1.93,8.69,0,15.72,0,10.63,34.18,0.59,0,3.01,0,0,0,0.63,4.65,0.62,0,0
 36-46,0,16.08,0,10.66,0,0.56,1.11,0,8.52,0,30.68,0,6.55,30.88,2.39,0,0,0,0,0,0,2.88,3.01,0,0
 48-58,0,0.37,0,1.01,0,0.76,0,0,13.34,0,13.84,0.49,3,20.43,0,0,0,0,0,0,0,4.19,3.1,0,0
 60-70,0,0,0,11.09,0,1.49,4.17,0,6.85,0,37.98,0,1.86,22.77,0,0,4.58,0,6.41,0,0,3.61,0.9,0,1.82
 72-82,0,0,0,19.29,0,0.7,1.72,0,30.85,0,37.61,2.09,0,22.27,0,0,1.02,0,0,0,0,1.35,0,0,0
 84-94,0,0,0.95,4.93,0,0,2.8,0,63.53,0,29.75,0,1.75,6.9,0,0,0.82,0,0,0,0,0,1.19,0,0
 96-106,0,0,0,3.78,0,0.57,1.65,0,39.64,0,13.19,0,0,15.39,2.08,0,3.95,0,0,0,0,0,3.29,0.68,0
108-118,0,0.5,0,13.65,0.95,0.77,8.08,0,36.45,0.64,33.16,0,0.85,7.49,0.45,0,0,0,0,0,0,0,0.87,0,0
120,0,2.99,0,0,0,4.1,3.3,0,51.3,0,7.16,0,0,13.38,0,0,1.09,0,0,0,0,0,0,0,0
