stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.56,189.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0,0,0
  5-6,0,125.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.65,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,0,0,0,5.25,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.87,0,0,42.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.69,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,3.48,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.93,2.8,0,0.93,0,0,0,1.19,0,0,40.34,0,0,2.38,0,0
 24-34,0,0,0,0,3.19,0,22.98,0,0,0,0,0,0,1.8,0,0,0,2.95,0,0,0,851.43,0,3.01,1.23,0,0,0,0,0,0,138.86,0,0,23.04,0,0
 36-46,0,0,0,0,1.51,0,146.23,0,0,0,41.25,0,0,13.52,0,0,0.85,0.7,0.6,0,0,1883.91,0,3.66,0.63,0,0,1.5,0,0,0,370.88,0,0,19.82,0,0
 48-58,0,0,0,0,0.63,5.2,334.5,0,0,0,81.19,0,2.63,6.46,0,0.44,0,4.83,0,0,0.6,1998.34,0,1.62,0,0,0,0,0,0,0,311.84,0,0,7.7,0,2.08
 60-70,0,0,0,0,7.32,0.68,862.12,0,1.92,0.84,55.55,0,0,20.59,0,1.52,0,7,0,0,0.92,2670.35,0,3.44,2.76,0,0,0,0,1.35,1.33,315.8,0,3.01,12.12,0,0
 72-82,0,0,0,0,3.5,3.65,420.85,0,3.46,1.3,49.71,0,0.86,2.26,0,0,1.08,12.63,0,0,1.14,1465.56,0,0,0,0,1.77,0.6,0,0,0,185.04,1.01,0.85,27.66,0,8.23
 84-94,0,0,0,0,12.15,1.87,396.34,0.56,1.11,0,50.2,0,0,10.4,0.67,0,2.93,19.58,0,0.57,0,1081.22,0,1.87,0,0,0,2.57,0,0,0,111.3,0,0,12.51,1.02,0
 96-106,0,0,1.37,0,3.42,1.9,179.67,0,0,0.63,31.8,0,1.3,16.22,0,0,0,9.73,0,0,0,759.78,0,0,0,0,0,0,0,0,0,45.01,0,0,28.79,0,0
108-118,0,0,0,0,9.33,0,216.32,0,0,0,18.67,0.45,0,22.31,0.42,0,0,7.11,0,0.44,0.88,743.19,0,2.14,0,0,0,5.27,0,0,0,41.56,0.68,0,16.83,1.15,0
120,0,0,0,0,10.09,2.69,219.66,0,0,0,57.92,0,5.85,23.03,0,0,0,41.53,0,0,0,1056.6,0,8.55,0,0,0,1.11,0,0,0,42.24,0,0,77.56,0,0
