stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,141.74,1596.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.03,0,0,0,0,0,0,0,0,0,0
  5-6,52.01,1350.81,0,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,26.48,19.74,0,0,0,0,0,0,0,0,0,0
  7-9,41.08,38.15,0,39.31,0,0,87.43,0,0,0,0,0,36.65,0,0,0,0,0,0,0,0,0,0,0,801.53,15.39,0,0,247.58,10.12,4.58,0,0,0,0,0,0,0,0,0
 10-12,0,18.08,0,28.17,0,14.22,52.46,0,0,0,0,0,21.66,0,0,0,0,0,0,0,0,0,0,3.87,596.34,46.27,0,0,181.51,0,9.84,0,18.28,4.89,0,0,0,0,0,0
 14-21,0,0,0,0,10.15,3.04,3.69,0,0,0,1.01,0,0,0,0,0,0,0,0,1.92,5.38,0,0,4.45,76.11,0.98,0,0,1.02,0,0,7.97,0,14.84,25.03,0,0,2.09,0,0
 24-34,0,0,0,0,6.95,0,10.19,2.28,0.85,0,3.7,2.64,0,0,0,0,0,0,0,0,11.51,0,0.69,1.92,132.21,0.74,0,2.01,0,4.13,0,0,1.81,1.45,35.9,0,0,7.05,0,0
 36-46,0,0,0,0,1.07,1.44,24.31,0,0,0.87,6.22,0,0,0,0,0,0,3.34,0,0,11.88,1.35,1.06,0,102.1,0.71,0,0.57,0,0.56,0,0,0,0,25.09,0,0.62,9.95,0,0
 48-58,0,0,0,0,6.19,0.44,28.5,0,2.65,0,9.8,0,0,0,0,0,0,0,0,0,23.52,0.46,0,0.45,40.53,0,2.26,7.54,0,4.25,0,0,0,0,5.46,0,0,2.3,0,0
 60-70,0,0,0,0,1.28,2.08,38.88,0,0,0,12.37,0,0,0,1.88,2.43,0,0,1.56,0,36.26,0,0,3.77,59.32,0,1.12,1.31,0,4.42,0,0,0,0,7.36,0,0,2.04,0,5.81
 72-82,0,0,0,0,0.52,1.55,13.05,0.51,4.22,0,10.61,0.74,0,0,0,0,0,0.6,0,0,21.27,2.55,0,7.06,14.78,0,0,5.51,0,2.78,0,0,0,0,1.06,0,0.61,0,0,2.08
 84-94,0,0,0,0,1.32,6.99,7.61,0,2.44,0,11.59,0.73,0,0,0.94,0.75,0,1.82,0,0,29.8,1.05,0,0.7,23.38,0.6,0,10.57,0,9.99,0,0,0,0,2.65,1.34,0,1.56,0,0
 96-106,0,0,0,0,0,14.51,24.61,0,0,0,23.14,2.21,0,0.73,0.95,0,0.95,0,0,7.1,19.6,0,0.76,2.92,26.69,0.58,0.66,8.7,0,5.94,0,0,0.82,0,0,0,0,1.15,4.24,0
108-118,0,0,0.62,0,3.47,9.33,8.04,0,0.5,1.54,28.34,1.47,0,0,2.72,0,0,0.48,0,0,34.42,0,0,3.11,26.59,0,0,6.57,0,5.74,0,0,0.42,0,0.98,0,1.6,2.97,1.4,0
120,0,0,0,0,1.4,22.95,4.21,0,2.12,0,5.37,1.2,0,0,0,0,0,4.83,0,11.42,45.75,0,0,8.23,21.46,0,0,7.41,0,9.11,0,0,0,0,0,0,0,0,0,0
