stage,blastomeres,endoderm,erythrocytes,fin.epithelia,neural,paraxial.mesoderm,presomitic.mesoderm,somites
  3-4,10.73,0,0,0,0,0,0,0
  5-6,44.06,0,0,0,0,0,0,0
  7-9,0,0,0,0,38.5,4.6,0,0
 10-12,0,0,0,0,3.06,4.28,0,0
 14-21,0,1.04,0,0,0,0,1.11,0
 24-34,0,0,0.99,0,0,0,0,0.61
 72-82,0,0,0,0.62,0,0,0,0
 84-94,0,0,0,4.6,0,0,0,0
 96-106,0,0,0,0,2.41,0,0,0
