stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.53,751.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.8,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.51,750.64,0,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,37.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.51,4.87,0,22.75,0,0,0,37.3,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,268.81,11.82,0,0,133.85,0,5.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,24.93,0,5.53,0,30.29,0,0,0,0,0,5.54,0,0,0,0,0,0,0,0,0,0,396.24,3.17,0,0,101.2,0,0,11.9,3.57,0,0,0,9.29,0,0,0,0,0
 14-21,0,0,0,1.04,17.76,6.88,0,13.72,0,0,0,4.42,3.63,3.03,0,0,0.84,0,0,0,1.07,17.4,0,10.42,214.35,2.35,0,2.35,3.46,0,3.03,0,34.85,2.11,1.2,22.32,69.38,0,0,1.25,0,0
 24-34,0,0,0.84,1.43,3.54,0,0,20.01,0,0,0,5.93,1.16,0,0,0,1.36,0,3.66,0,0,32.34,0,9.49,296.8,1.47,14.69,1.46,0,0,0,0,0,2.14,0.88,5.34,54.07,0,0,13.05,0,0.69
 36-46,0,0,0,0,0.62,0,0,13.07,0,0,2.39,10.96,0,0,0,0,0,0,1.82,0,0,28.42,0.8,4.5,359.41,4.36,6.64,6.38,0,0,1.41,0.73,0,2.18,0,0,62.98,0,0,1.34,0,4.21
 48-58,0,0,0,0,2.22,0,0,46.79,0,0,2.57,19.14,0,0,0,0.47,4.11,0,0,0,0.59,20.44,0,3.7,219.27,0,1.29,2.29,0,0.87,0,0,0,0,0,0,55.54,0,0,0,0,0.49
 60-70,0,0,0,0,0.65,1.86,0,56.88,0,0,0,7.64,5.53,0,0.69,0,0.64,0,1.57,0,0,40.96,2.78,5.85,188.59,7.06,4.49,4.27,0,0,13.87,0,0,6.83,0,0,17.21,0,0,3.63,1.54,0
 72-82,0,0,0.93,0,3.83,0,0,72.64,0,0.7,2.23,20.46,0.81,0,1.15,2.42,0,0,0,1.17,0,37.94,1.72,4.83,185.34,0,8.19,0,0,0,2.93,0,0,0.57,0,0,24.59,0,0.81,8.68,4.17,6.75
 84-94,0,0,0,0,2.8,0,0,66.72,3.35,0,1.03,30.21,3.02,0,1.14,0.77,1.24,1.5,2.53,0.89,0,38.18,1.28,3.23,154.65,0.72,3.87,3.56,0,0,8.44,1.4,0,0,0.63,0,31.85,0.71,2.87,3.69,1.93,0
 96-106,0,0,0.61,0,7.2,8.66,0,34.4,0,1.68,0,32.13,0.8,0,0,2.39,0.7,0,0,7.59,0,29.09,0.85,6.05,154.37,0,2.33,3.11,0,0,12.98,0,0,0,0,0,2.7,0,0,6.49,1.44,4.53
108-118,0,0,0.52,0,8.46,0,0.44,61.1,0.64,0,0,20.45,0.44,0,0.51,0.48,0.96,1.74,1.06,1.12,0,45.63,1.21,6.51,204.04,0.42,3.26,1.97,0,0,5.07,0,0,1.03,0.95,0,6.41,0,1.74,5.8,0.54,1.93
120,0,0,0,0,0,2.39,0,44.08,0,0,0,32.72,0,0,0,0,2.99,1.17,0,0,0,37.66,0,1.01,208.09,0,4.59,3.12,0,0,2.11,2.5,0,0,0,0,29.38,0,0,2.85,0,0
