stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,heart,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,0,3.57,0,0,0,0,0,0,0,0,14.71,0,0,0,3.8,0,0,0,0,0,0
 24-34,0,0.72,3.42,0,1.54,0.65,0,0,0,0.61,0,5.94,5.96,0,0,0,0,0,0.68,1.49,0,0
 36-46,0,0,2.4,0,0,1.09,0.65,0,0,0,0,2.9,2.31,0,0,0,0,0,0,1.28,0,0
 48-58,0,0,6.77,0,0,0.6,0,0,0,0.75,0.42,8.43,0,0,4.12,0,0,0,0,1.73,0,0
 60-70,0,0.58,49.98,0,0.86,1.9,0,0,0,4.94,0,60.92,1.02,0,0,0,0,0,0,0,0.7,0
 72-82,0,0,83.23,0,0,2.48,0,0,0.84,0,0,39.98,1.13,0,0,0,0,0,0,0.62,0,0
 84-94,0,1.18,65.7,0,0,0.73,0,0,0,8.42,1.05,36.75,2.17,1.46,0,0,1.09,0.6,0,0,0,0.77
 96-106,0,0,89.85,0.57,0,1.77,0,0,0,0.75,0,32.48,0,0,0,0,0,0,0,0,0,0
108-118,0.55,2.13,88.85,0,0.47,6.78,0,0.66,0,2.13,0,43.74,0,0.78,4.76,0,0,0,0,2.81,1.07,0
120,0,0,115.92,0,0,4.72,0,0,0,0,0,61.62,0,0,0,0,0,0,0,0,0,0
