stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,60.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0,0,0,0
  5-6,35.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.11,0,0,3.24,0,0,0,0,0,40.19,0,0,0,0,0,0,0,0,0,0,0
 10-12,8.25,0,0,0,0,0,0,0,0,0,0,0,0,46.83,0,0,16.15,0,9.66,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.8,1.37,1.78,0,1.09,0,0,0,0.94,0.93,0,0,0,0
 24-34,0,2.01,0,0,4.29,1.12,0.73,0,0,0,0,0.84,2.94,12.85,10.86,0,0,0,0,0,5.21,0,2.26,0,0
 36-46,0,0,0,0,0.7,1.51,0,0,0,0,0,3.55,0,11.08,77.61,0,0,1.05,0,0,2.64,0,0.87,0,0
 48-58,0,0,0,0,9.11,2.1,0,0,0,0,0,0.96,0,19.01,50.36,0,0,0.39,0,0,4.55,0,2.36,0,0
 60-70,0,1.12,0,0,7.78,0.88,0,0,0,0,0,1.17,0,6.04,90.3,0,0,0,0,0,0.57,0,0,0,0
 72-82,0,0,0,0,7.13,1.09,0,0,0,0,0,3.87,0,18.62,5.45,0,0,0,0,0,0.96,0,0,0.96,4.92
 84-94,0,2.25,0,0,10.8,0.84,0,0,0,0,0,5.37,0.58,5.08,11.21,1.1,0,3.79,0,0,0,0,0,0,0
 96-106,0,1.72,1.4,0,4.34,0.88,0,0,0,13,2.28,1.97,1.03,22.92,81.47,0,0,2.25,0,0,0,0,0,0,0
108-118,0,0.62,0,2.29,6.41,0,0,0,0.58,0,0,3.56,0,12.98,9.51,0,0,4.58,0,0,6.89,0,1.68,0,0
120,0,1.35,0,0,3.73,0,0,0,0,0,0,3.65,0,60.54,0,2.11,0,0,0,0,0,2.25,0,0,0
