stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,2.34,0.81,2.29,0,5.53,0,0,0,1.46,0,0,0,0,0,0,4.88,0,1.45,20.84,0.94,0,0.88,0.94,1.15,1.28,0,2.47,3.17,0,0
 24-34,1.99,2.26,0.86,0,7.68,0,0,2.67,0,0,0,0,0.65,0,0,5.84,0,3.41,87.71,0.67,0.78,0,0,4.43,0,0,0,17.37,0,1.05
 36-46,0,2.02,0,0,13.13,0,0,3.5,0,0,0,0.56,0,3.46,0,8.29,0,0.6,98.13,0,0,0,0,8.82,0,0,0,13.8,0,3.51
 48-58,0,10.94,0,0,43.94,0,0,2.86,0,0,0,0,0,0,0,6.04,0,2.02,54.52,1.36,0,0,0,3.11,0,0,0,2.92,0,0
 60-70,0,0,0.67,0,23.48,0,0.87,6.77,0.62,2.87,3.71,0,0,0,0,3.2,0,0,50.43,0,0,0,0,2.58,0,3.12,0,4.01,0.71,0
 72-82,0,3.29,0,0,4.03,0,0,3.26,0.72,0,0,0,0,0,0,12.92,0,1.22,59.75,0,2.15,0,0,4.56,0,0,0,6.3,0,0.77
 84-94,0,3.97,0,0,22.14,0,0,2.75,0.97,0,0,0.72,1.46,0,0,11.7,0,0.75,30.86,0,0,0.89,0,7.36,0,0,0,1.05,0,0
 96-106,1.03,0,5.99,0.6,13.42,0,0,0.99,0,0,0,0,1.11,8.27,0,5.38,1.06,0,21.93,0,3.92,1.01,0,2.49,0,0,0,3.8,0,2.63
108-118,0,3.92,7.14,0,11.02,4.72,0,9.99,1.76,0,1.8,0,0,0,0,1.65,0,3.94,16.98,1.37,0,0.72,0,8.96,0,0,0,4.61,0,0
120,0,8.53,0,0,10.58,0,0,1.16,0,0,0,0,0,0,1.33,2.03,0,0,97.24,0,0,0,0,10.43,0,0,0,0,0,0
