stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,0,103.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.07,37.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.86,0,0,13.1,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,63.61,0,0,18.68,0,5.34,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.21,0,0,4.1,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.67,0,0.81,0,0,0,0,0,0,0,0,0,0,1.13,1.24,0,0,0,4.32,0.86,0,0,0,0,1.06,1.14,0,0,0,0
 24-34,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,1.26,1.31,0,5.37,0,0,0,10.02,0,0,0,0,10.53,0,0.97,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.62,0,0,0,3.24,0,0,0,0,2.47,0,1.59,0,0,0,0
 48-58,0,0,0,0.77,0,1.74,0,0,0,0,0,0,0,0,0,0.48,0,66.6,0,0,7.41,21.11,0,0.69,0,0,0.9,0,0.79,0,0,0,2.03
 60-70,0,0,0,0.88,0,2.27,0,0,1.11,0,0,0,0,0.61,6.13,0,0,165.23,2.07,0,0,39.61,0,0,0,0,0,0,1.05,1.22,1.19,0,1.17
 72-82,0,0,0,0.64,1.04,10.36,0,2.52,10.65,4.83,0,0,1.18,3.31,2.7,0,0,185,1.81,0,0,34.96,0,0.5,0,0,5.86,0,1.03,0,0,0,0
 84-94,0,0,0,5,0,15.93,0,0,0,2.34,0,0,0,0.68,1.45,0,6.93,222.43,0.61,7.05,0,45.31,0,0.55,0,0,0.63,0,0,0,0,0,1.61
 96-106,0,0,0,1.86,0,10.32,1.91,7.73,19.69,2.91,0,3.87,0.93,4.8,2.25,0,0,170.54,17.68,0,0,50.05,0,0.86,0,3.28,4.6,0,0,0,0,1,0
108-118,0,0,0,9.28,0,8.11,0,0,0,1.38,0,0,1.5,0.45,0,0,0,163.93,0,0,1.9,38.53,0,0.44,0,0,11.75,0,0,0,0,0,2.68
120,0,0,0,0,0,12.88,0,0,13.96,2.27,0,0,0,1.65,0,0,0,332.32,0,8.17,2.81,37.57,0,0,0,0,0,0,0,0,6,0,10.22
