stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,32.07,88.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0
  5-6,24.05,77.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,20.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.88,9.54,0,0,34.69,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.61,3.12,0,0,6.92,0,0,0,0,0,0,0
 14-21,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0.94,1.34,0,0,0,0,0,0,1.66,0,0,0,0,0
 24-34,0,0,0,0,0.79,0,1.1,0,0,0,0,0,0,0,0,0,5.66,0,0,0,0,0,0,0.76,2.25,0,0,0
 36-46,0,0,0.61,0,2.41,0,0,0,0,0,0,0,0,0,3.19,0,7.81,0,0,0,0,0,2.9,0,4.79,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.66,0,0,0.54,0,0,0.67,0,6.46,0,0,0,0,0,0,0,0.82,0,0,0
 60-70,0,0,0,0,2.47,0,0,0,0,0,0,0,0,0,1.08,0,2.99,0,0,0,0,1.46,0,0,0,0,0,4.46
 72-82,0,0,0,0,3.17,0,0,0.83,3.37,0,0.51,0,0,0,4.23,0,2.04,0,0,0,0,0.62,0,0,0,0,0,0
 84-94,0,0,0,0,3.77,0,0,0,0,0,0,0,0,0,2.59,0,3.49,0,0,0,0,0.78,0,0,0,1.86,0,0
 96-106,0,0,0.71,1.02,6.06,0,0,1.24,0,0,0,0,0.77,0,0.67,0,5.48,0,0,0,0,0,0,0,1.31,0,0,0
108-118,0,0,0.87,0,8.54,0.5,0.42,0,0,0.82,0,0,0,0,2.84,0,9.75,0,0.55,0.48,0,0.44,0,0,0,0,1.8,0
120,0,0,0,0,8.86,0,0,0,0,0,0,3.35,0,4.13,9.41,0,0,0,0,0,0,0,0,0,0,0,0,0
