stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,gut,heart,immune,lateral.line,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,7.41,0,5.08,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,14.76,0,0,0,0,0
 24-34,0,0.64,0,0,0,0,0,0,0,0.89,0.66,0,0,1.02,0,2.02
 36-46,0,0,0,0,4.61,0,0,0,0,0,0.96,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.99,0,0,7.95,0,0
 60-70,0,0,0,3.65,0,0,0,0,0,0,1.13,1.51,0,0.57,1.01,0
 72-82,0,0,0,0,3.67,0,0,0.73,0,0,5.73,0,0,0.54,0,0
 84-94,0,0.71,0,2.26,0,0.89,0,0.58,0,0,0,0,0,6.94,0,1.23
 96-106,1.57,0.8,0,0.62,0,0.7,0.66,0,0,0,0,1.51,0,0.79,2.16,0
108-118,0,1.74,0,0,0,0.45,0,0.47,0,0.54,1.2,0,0,2.42,0,0
120,0,0,1.06,0,0,0,0,4.61,2.6,1.15,0,0,0,1.26,0,1.91
