stage,axial,blastomeres,endoderm,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros
  3-4,12.98,358.35,0,0,0,0,0,0,0,0
  5-6,57.21,287.68,0,17.77,26.22,0,0,7.14,0,0
  7-9,5.24,0,6.45,331.09,19.84,0,7.88,0,13.06,0
 10-12,0,0,10.94,183.07,16.57,12.25,0,0,5.85,10.02
