stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.45,0,0,4.61,0,0,0,0,0,0
 10-12,0,0,0,0,10.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.81,0,0,0,0,0,0,0,3.37,0,0,0,14.11,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0,12.59,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,5.42,9.19,0,0,0,0,0,0,6.35,0,0,0,13.71,0,0,0,0,1.52,0,0,0,0
 48-58,0,0,0,0,7.78,0,0,0.49,0,0,0,0,16.28,1.22,0,0,8.94,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.02,0,0,0,0,0,0,0,47.23,0,0,6.46,8.78,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.45,0,0,0.8,0,0,0,0,58.06,0,0,0,6.88,0,0,0,0,0,0,0,0,0
 84-94,0,0.76,0,0,1.05,0,0,0,0,0,0,0,145.56,0,0,0,13.15,0,5.97,0,0.72,0,0,0,0,0
 96-106,1.36,6.18,2.01,2.15,30.4,0,0,5.1,1.5,0,0,0.79,982.5,19.3,0.59,0,103.54,0,0,0,3.89,0,2.05,0,1.26,1.22
108-118,0,9.43,0.62,6,29.76,0,0.65,5.46,3.4,0,0.67,0,2659.91,22.66,2.27,0.47,134.11,1.62,6.57,0,2.92,0,0.67,5.32,0,0
120,0,9.57,2.15,0,25.37,0,0,10.02,0,4.46,0,0,1780.62,3.46,0,1.21,188.58,0,0,0,7.52,0,0,11.43,0,0
