stage,eye,gut,olfactory
 36-46,0,0,0.8
 48-58,0,0,0.78
 60-70,0,8.22,0
 72-82,0.5,0,8.79
 84-94,0,0,12.84
 96-106,0,0,26.64
108-118,0,0,14.57
120,0,0,17.32
