stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,371.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,125.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.88,0,0,0,8.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,3.92,0,0,0,0,0,0,0,0
 10-12,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,7.13,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.1,1.16,0,2.52,0,0,0,0,0,0,0,0,0,0,21.1,5.23,0,0,1.01,49.84,8.34,0,3.27,0.97,0,1.86,0,1.93,15.4,0,0,0
 24-34,0,0,0.68,0,0,7.85,0,1.33,0.67,1.48,0,0,0,3.16,0,0.67,4.17,11.33,0,0,3.57,94.26,9.85,0.74,26.68,0,0,0,0,0,21.39,0,0,6.6
 36-46,0,0,0,0,0,11.1,0,77.51,0,0,0.71,0,0,1.39,0,0.67,0,10.49,0,0,0.95,113.9,20.8,0,31.04,0,0,0,0.74,0,51.73,0,1.04,0
 48-58,0,0.43,3.23,0,0,27.41,0,113.01,0,0.73,0,0,0,0.46,0.41,0.37,0,21.13,0,0,2.75,89.89,8.22,0,32.73,0,0.53,0,0,0,33.14,0,0.43,0.56
 60-70,0,0,0,0,0,13.98,0,113.61,0,0,0.93,0,0,4.28,0,0,3.82,63.08,0,0,0,32.03,9.7,0,25.86,0,0,0,3.37,0,12.26,0,0,8.6
 72-82,0,0,0.49,0,0,11.75,0,141.11,0,0,0,0,0,0,0,0.79,3.91,104.81,0,0,2.84,40.92,13.95,0,44.4,0,0,0,4.14,0,16.32,0.63,0,24.27
 84-94,0,0,0,0,0,16.33,0,70.77,0,3.67,0,0,0,1.73,0,0,1.36,89.81,2.28,0,6.53,36.77,19.67,0,85.95,0,0,2.69,4,0,4.53,0,0,27.65
 96-106,0,0,0.89,5.28,0,31.98,0,208.81,0,0,0,0.65,0,5.8,0,1.36,1.44,88.43,0,2.18,4.7,26.04,6.2,0,27.1,0,1.51,4.43,2.09,0,0.87,0,0,26.81
108-118,0,0,1.7,0,0.64,22.25,1.22,211.36,0.62,0,0,0,0.71,6.61,0,2.14,1.68,96.85,0.49,0,0.47,50.45,3.28,0,64.85,0,0,3.25,4.35,0,6.65,3.37,0,32.51
120,0,0,0,1.34,0,26.39,0,330.07,0,0,0,8.17,0,5.84,0,0,0,121.95,0,0,0,64.08,6.44,0,34.22,0,0,1.23,5.03,0,0,16,0,21.29
