stage,endocrine.pancreas,epidermis,eye,glial,gut,immune,lateral.line,mesenchyme,neural,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,6.19,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,14.9,0,0,0,2.89,0
 36-46,0,0,1.16,0,0,0,0,0,64.38,1.1,0,0,9.05,0
 48-58,0,0,2.87,0,0,0,0,0.48,77.08,0,0,0,9.14,0
 60-70,0,0,15.17,0,0,0,0,0,154.3,0,0,0,18.84,0
 72-82,0,2.88,27.3,0,0,2.03,0.63,1.3,194.85,0,0,0,17.38,0.52
 84-94,0,0,13.68,0,2.65,0,0,0,155.9,0,0,0.6,14.62,0
 96-106,0.81,2.18,35.48,1.45,0,0,0,0.65,130.72,0,0.79,2.03,13.32,0
108-118,0,0,19.88,1.03,0,0,0.79,0,139.42,3.65,0.57,0,8.03,0
120,0,0,13.99,0,0,0,0,0,127.63,0,9.31,2.07,0,0
