stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.78,318.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,115.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.46,0,0,0,0,44.52,0,0,0,0,0,0,0
  7-9,4.9,0,0,0,0,0,0,0,0,8.96,0,0,0,0,0,0,0,0,0,0,66.59,3.59,0,0,3.75,3.78,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.47,0,0,0,5.42,4.52,4.37,12.49,0,0,0,0,0
 14-21,0,0,0,0,5.32,1.14,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,1.01,0,0,0,0,82.79,0,1.41,6.92,0,0,0,0
 24-34,0,0,0,0,2.63,6.42,0,0.87,0,0,0.8,0,2.39,0,0,0,16.87,0,0,0.95,36.39,0,4.68,0,0,422.1,0,0.85,5.12,0,0,0,0
 36-46,0,0,0,0,1.61,14.97,2.61,3.19,0,0,0,0,0,2.5,0,0,2.69,3.72,1.66,0,30.27,0,2.51,0,0,747.55,0,2.14,6.47,0,0,0,2.9
 48-58,0,0,0,0.43,4.59,16.34,9.17,10.25,0,0,0,0,0.99,0,0,0,1.94,2.24,0,4.14,43.26,0,5.71,0,0,429.51,0,4,11.22,0,0.66,0,0
 60-70,0,0,15.59,0,6.1,18.79,11.36,28.24,0,0,0,0,5.19,3.69,0,0,1.31,0,0,0.6,28.98,0.71,2.38,0,0,587.63,0,8.32,5.58,0,0,0,4.52
 72-82,0,0,0.75,0,10.59,7.02,1.47,88.17,0,0,0,0,4.31,8.68,0,0,5.66,1.29,0,0,52.15,0,2.59,0,0,285.26,0,4.21,5.83,0,1.61,0,0
 84-94,0,0,0.56,2.77,39.62,11.8,15.73,54.1,0,0,0,0.63,7.71,1.32,0,0,2.37,0,0.83,1,35.55,0,4.76,1.75,0,559.88,0,4.2,0,0,2.24,0,1.61
 96-106,0,0,1.78,0,25.07,34.6,5.84,90.88,1.32,0,0,0,9.99,12.02,12.31,0,8.8,0,5.97,1.63,18.18,0,3.81,1.23,0,517.71,0,2.72,7.87,1.88,1.42,0,0
108-118,0,0,0,1.45,32.49,8.65,13.88,128.75,5.13,0,0,0.67,26.17,5.85,2.34,4.23,1.9,2.23,2.22,0,60.89,0,5,0,0,454.8,0,2.62,4.13,5.65,0,0.87,0
120,0,0,1.37,0,64.02,26.91,12.4,332.63,4.28,0,0,3.08,16.39,5.76,0,7.7,5.52,1.29,0,0,75.52,0,3.33,0,0,283.39,0,2.48,0,1.32,0,0,0
