stage,blastomeres,endocrine_pancreas,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  5-6,8.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.54,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.14,9.75,0,0,0,0,0,10.62,0,1.5,0
 24-34,0,0.84,0,0.68,0,0,0,0,0,0,1.93,138.19,0.84,0,0,0,0,28.51,0,0,0
 36-46,0,0,0,9.26,0,10.51,0,0,3.45,0,0,172.28,2.04,0,0,0,0,30.35,0,0.59,0
 48-58,0,0.54,0,40.07,0,6.2,0,0,1.69,0,1.13,190.56,0,1.05,0,0,0,35.79,0,0,0
 60-70,0,0,0,95.17,0,4.07,0,0,5.36,0,0,180.99,0,0,0,0,3.05,32.98,0,3.52,0
 72-82,0,0,3.68,83.78,0,1.38,0,0,8.63,0,0,129.68,0,0,0,0,0,19.74,0.82,0,0
 84-94,0,0,0,42.37,1.01,4.07,0,1.78,0,0.71,0,127.01,0,0,0,0,0,19.85,0,0,1.66
 96-106,0,0,0,61.1,0,2.28,1.01,0,2.14,1.14,3.96,110.2,1.63,0,0,2.93,0,4.05,0,0,0
108-118,0,0,0,30.78,0,3.31,0,0,10.98,0,0,100.6,1.4,0,0,0,0,0,0.42,0,0
120,0,0,0,41.7,0,0,0,0,0,0,0,90.58,0,0,0,0,0,12.77,0,0,0
