stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,22.46,786.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.05,0,0,0,0,0
  5-6,20.3,459.01,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.48,0,0,7.91,0,0,0,0,0,0
 10-12,0,0,0,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.15,2.21,0,0,0,2.3,3.76,0,0,0,2.12,11.71,3.21,3.2,0,0
 24-34,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,15.14,0,0.65,0,0,1.27,7.96,0.65,0,0.63
 36-46,0,0,0,0,1.34,2.73,0,0,0,0,0.91,1.61,1.34,0,19.97,0,0,0,0,11.14,0,1.67,0,4.04
 48-58,0,0,0,0,9.24,7.5,1.9,0,0,0,0,0,0,0,8.61,0,0,0,0,2,0,1.05,0,0.43
 60-70,0,0,0,0,80.83,0,0,0,0,0,0,0,0,0,11.34,0,6.84,0,0,1.35,0,1.8,0,3.1
 72-82,0,0,0,0,67.92,0,2.21,1.99,0,0,0,0,0,0,10.42,0,2,0,0,0,0,0,0,7.21
 84-94,0,0,0,0.84,36.42,4.61,0,0.66,0.71,0,0,0.8,0,0,7.8,0.83,5.72,0,0.73,0.57,0,0.66,0,1.85
 96-106,0,0,1.49,0,39.9,0.68,2.14,0,0,0,0,0,0.62,0.58,19.96,0,5.26,0,0,1.64,0,0,0,5.82
108-118,0,0,1.84,0,58.01,0.78,0,0,0,0,0,0,4.28,0.57,11.33,0,0,0,0,0.73,0,0,0.63,5.29
120,0,0,0,0,19.17,1.57,0,0,0,0,0,0,0,0,9.16,0,0,0,0,1.32,0,0,0,0
