stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,12.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.93,1.12,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0.85,0,0,0,0,0,1.07,0,0,0,0,0
 24-34,0,0,4.84,0.69,0,7.89,0,0,0,0,0,0,0,0,0,2.08,0,0,8.4,0,0,0,0,0,0,1.66,0,0,0,0
 36-46,0,0,15.71,0,0,17.65,0,0,0,4.36,0,0,0,0,0,11.49,0,0,44.47,0,0,0,0.57,0.72,0,3.29,0,0,0,0
 48-58,0,0,0,0,0,22.84,0,0,0.37,2.51,0,6.36,0,0,0,21.07,0,1.63,25.95,0,0,0,0.77,0,0,1.93,0,0,0,0
 60-70,0,0,1.19,0,0,24.2,0,0,0,64.16,0,1.58,0,0.79,0,87.44,0,0.77,45.2,1.51,0,0,0,0,0,2.57,0,27.03,5.69,0
 72-82,0.49,0,1.48,0,0,10.89,8.7,0,0.56,142.53,0,4.56,0,0,0,101.04,1.31,6.35,38.02,1.68,1.5,0,0,0,0,0,0,17.53,1.4,7.08
 84-94,0,0,9.86,0,0,9.2,0,0,0,142.99,0,16.2,0,0,0,72.73,2.85,0.71,30.86,0,8.03,0,0,0.94,0,0,0,33.49,1.31,4.84
 96-106,0,0,2.72,2.99,0,32.18,0,0.59,3.75,211.19,0.83,13.08,0,1.31,0.78,86.63,7.33,0,65.06,0.96,6.44,0,0.7,0,0,0,0,14.8,6.39,3.09
108-118,0,0,0,0,5.29,23.67,0,0,2.99,136,0.57,7.51,0,0,1.74,116.61,0.94,0,60.06,0,10.97,2.35,2.24,1.69,0,2.21,0,14.91,3.09,10.25
120,0,0,1.06,8.48,0,8.54,0,0,0,220.72,0,2.09,5.3,2.64,0,178.36,26.6,0,168.11,0,7.28,0,0,0,0,0,2.31,1.51,19.34,15.73
