stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,90.37,2854.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.24,0,0,0,0,0,0,0,0,0,0,0
  5-6,107.29,2192.33,0,0,0,0,0,0,0,0,0,22.48,0,0,0,0,0,0,0,0,0,0,0,141.35,8.7,0,0,37.34,0,38.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,72.59,45.6,50.13,0,0,0,183.43,0,0,0,0,96.7,0,0,0,0,0,0,0,0,0,0,0,1478.39,169.09,0,0,513.74,0,3.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.3,70.33,0,6.13,0,129.6,0,0,0,0,82.73,0,0,0,0,0,0,0,0,0,0,0,1058.86,101.82,0,0,382.73,0,0,5.47,0,37.6,0,10.67,0,0,0,0,0,0
 14-21,0,0,4.56,23.7,12.95,0,7.96,0,0,0,0,2.29,0,0,0,0,0,0,0,6.56,0,0,14.44,122.33,21.97,0,0.94,3.5,0,1.02,0.9,36.43,0.96,3.88,14.93,22.13,0,0,1.93,0,0
 24-34,0,0,0,3.1,0.62,0,16.68,0.63,0.64,6.99,2.67,0.81,0,2.77,0,0.92,0,0,0.95,12.81,1.54,0,9.4,108.67,2.19,0,2.97,0,0,7.71,0,0,0,0,4.24,18.48,0,0,6.54,0,1.52
 36-46,0,0,0,8.08,0,0,6.67,0,2.2,2.36,0,0,0,0,0,1.21,0.57,0,0,15.83,0.78,0,6.54,58.85,1.26,0,0.74,0,0,2.8,0,0.86,0,0,0,22.35,0,0,2.86,0,0
 48-58,0,0,0,1.58,0,0,45.49,0.55,9.26,18.61,0.39,0,1.1,0.45,0.4,0,0.91,0.48,0,35.07,1.52,0,4.83,146.06,5.02,0,2.2,0,0,10.96,0,0,0,0,0,31.01,0,0,7.09,0,0
 60-70,0,0,0,9.14,0,0,23.75,3.2,6.75,16.97,0,0,0,3.75,0,0.63,2.61,6.8,0,41.66,1.01,0,9.18,79.05,0,1.55,1.39,0,0,10.75,0,1.38,0,5.32,0,9.91,0,0.84,3.7,0,0
 72-82,0,0,0,6.22,0,0,43.26,0,3.09,11.27,0,0,0,4.74,0.49,0.76,2.94,1.26,0,41.7,1.06,0.67,5.47,117.9,4.91,0,0,0,0,4.99,0,0,0,0,0,12.21,0,0.53,6.65,0,0
 84-94,0,0,0,1.44,0,0,12.73,0.63,1.32,13.27,2.56,0,1.84,3.73,3.3,0.74,3.88,1.74,2.55,54.45,6.81,2.19,5.45,76.72,1.23,0,0.55,0,0,36.94,0,0,1.75,0,0,1.84,0,1.14,6.36,0,2.1
 96-106,0,0,0,9.23,3.03,1.37,19.89,2.32,0.93,9.66,1.21,0,0.87,2.1,0,0.91,4.55,0,0,29.67,0,0.93,2.54,59.73,0.57,1.38,3.74,0,1.47,11.96,0,0,0,0,0,5.67,0,0,7.09,0,0
108-118,0,0,0,6.6,0,4.56,22.27,0,1.25,8.2,1.61,0,0,0.7,2.37,3.02,2.15,3.03,0,8.35,10.24,0,2.17,67.58,0,2.03,0,0,0,10.01,0,0,0,0,0,0,1.12,0.67,5.65,0.61,0
120,0,0,0,13.13,0,0,19.16,0,0,15.39,2.57,0,0,3.88,0,1.11,0,0,0,9.48,0,0,3.75,143,0,0,5.47,0,0,5.62,0,0,0,0,0,0,0,0,4.5,0,0
