stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,49.09,69.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,152.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.96,28.33,21.16,0,0,712.65,0,0,0,0,0,4.86,0,0,0,0,0,0,0,0,0,1330.8,0,0,0,44.19,0,0,0,0,0,0,0,0,0,0
 10-12,0,182.13,162.05,0,0,2386.27,0,0,0,0,0,17.52,0,0,0,0,0,0,0,0,0,8127.28,26.86,0,0,98.7,0,0,6.52,0,7.77,0,0,0,0,0
 14-21,0,0,3.27,13.56,2.96,22.75,0,0,0,1268.66,0,0,0,0,0,0,0,0,6.07,0,10.24,3701.38,2.71,0,0,17.24,0,9.72,5.08,1.83,4.94,2863.97,0,0,0,0
 24-34,0,0,1.47,5.23,0,14.65,0,0.82,0,770.13,0.71,1.82,0,0,0.74,7.49,0.65,2.15,19.16,0,24.06,2638.78,0.63,2.48,0,0,9.35,0,0,0,2.24,2583.46,0,6.27,0,0.76
 36-46,0,0,0,0,0,30.37,0,0,5.13,407.22,0,0,1.45,0,0,1.11,1,0,12.41,0,38.28,1217.08,0.58,0.66,0,0,1.33,0,0,0,0,1369.5,0,0.99,0,6.93
 48-58,0,0,0,1.43,0,10.63,0.76,0,9.4,202.26,0,0,0,0,0.49,0,0,0,14.52,0,8.32,214.56,0,0,0,0,2.69,0,0,0,0,254.16,0,0,0,3.28
 60-70,0,0,0,0,0,1.09,0,0,3.24,64.38,0,0,0,0,0,0,0,0,15.64,0,6.33,89.41,0,0,0,0,0,0,0,0,0,41.2,0,0,0,0
 72-82,0,0,0,5.1,0,16.24,0,0,2.56,77.6,0,0,0,0,0.6,0,0,0,22.72,0,2.09,33.41,0,0,0,0,0,0,0,0,0,13.15,1.48,2.28,0,0
 84-94,0,0,0,13.94,0,2.78,0,0,4.88,39.4,2.47,0,0,0,0.6,0,0,0,22.89,0,0.65,37.23,0,0,0,0,2.93,0,0,0,0,28.31,2.24,0,1.98,0
 96-106,0,0,0,11.56,0,6.33,0,0,1.89,38.88,1.4,0,0,0,6.04,0,0,0,21.09,0.7,3.01,26.86,0,0,1.23,0,0,0,0.67,0,0,6.01,7.47,0,0,0
108-118,0,0,0,6.66,0,6.31,0,0,4.96,72.91,0.9,0,0,1.94,3.08,0.79,0,0,46.12,0,7.85,22.41,0,0,0,0,0,0,0,0,0,4.05,3.29,0,0,0
120,0,0,0,8.17,0,4.39,0,0,0,54.94,0,0,0,0,0,0,0,0,25.2,0,0,13.21,0,0,0,0,0,0,0,0,0,0,8.01,0,0,0
