stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,glial,gut,heart,immune,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,otic,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,9.59,44.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,48.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,5.86,0,0,0,4.6,0,0
 24-34,0,0,1.33,0,0,0.72,0,0,0,0,0,0,0,3.31,97.32,0,0,0,15.64,0,2.95
 36-46,0,0,0,0,2.03,13.21,0,0,0,2.15,5.61,0,0,0.73,153.93,0,0,0,37.93,0,4.17
 48-58,0,0,0,0,14.11,12.02,0,0,0,0,3.4,0,0,2.91,75.14,0.44,0,4.42,15.44,0,0
 60-70,0,0,0,0,42.68,0.73,0,0,7.21,0.71,3.99,0,0,0,108.41,0,2.4,4.03,8.17,0,0
 72-82,0,0,0,0,23.87,2.69,0,0,0,0,7.87,0,6.78,0,63.85,0,0,0,0,0,0
 84-94,0,0,0,0,27.2,3.68,0.73,0,0,0,10.8,0,0,0.68,35.02,0,0,0,6.98,0.88,1.23
 96-106,0,0,0,0,16.98,3.3,0,0,0,0,4.91,0,0,0,30.5,0,0,0,0.87,1.27,1.19
108-118,0,0,2.31,2.22,38.08,2.85,0,0,0.65,0,4.28,0,0,0,33.2,0,0,0.84,3.19,0,0
120,0,0,1.16,0,43.81,6.8,0,1.54,0,0,7.93,1.56,0,0,85.24,0,0,0,0,0,0
