stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,2038.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.19,0,0,0,0,0,0,0,0,0
  5-6,120.26,2430.97,0,0,0,0,0,0,0,21.81,0,0,0,0,0,0,0,0,98.19,0,0,0,35.2,0,26.66,0,0,0,0,0,0,0,0,0
  7-9,23.94,45.13,44.25,0,139.17,0,0,0,0,16.44,0,0,0,0,0,0,0,0,1197.47,20.4,0,0,326.72,0,3.78,7.87,0,0,0,0,0,0,0,0
 10-12,0,56.93,31.15,0,124.29,0,0,0,0,18.94,0,0,0,0,0,0,0,0,903.83,33.13,0,0,323.06,0,6.22,0,0,14.45,13.47,0,0,0,0,0
 14-21,0,0,0,5.25,0,0,0,0.88,0,0,0,0,0,0,0,1.66,0,3.09,88.12,0,0,0,1.93,0,0,0,5.52,0,4.41,20.45,0,0,0,0
 24-34,0,0,1.22,1.78,11.9,0,0,2.22,0,0,0,0,0,0,0.65,10.4,0,1.74,180.56,1,0,1.03,0,0,0.75,0,0,0,1.29,40.71,0,0,0,0
 36-46,0,0,0,2.93,24.43,0,0,4.04,0.58,0,0,0,0,0,0,9.78,0.56,1.75,90.96,0,0.65,0,0,0,4.12,0,0,0,0,7.07,0,0,0,9.04
 48-58,0,0,0,3.91,35.16,0.55,0,5.87,0,0,0,0,1.93,0,0,8.08,0.66,0.63,48.88,0,0,0,0,0.56,0,0,0,0,0,4.53,0,0,0,0
 60-70,0,0,0,9.23,11.77,0,0,5.92,0.83,0,0,0,0,0,0,18.03,0,0,59.68,0,1.33,0,0,0,7.72,0,0,0,0,5.06,0,0.72,0,0
 72-82,0,0,0,0.53,15.02,0,0,11.25,0,0,0,0,0,0,0,14.46,4.19,1.06,8.11,0,0,0,0,0,0,0,0,0,0,1.21,0,1.36,0.93,0
 84-94,0,0,0,5.4,17.4,0.68,0,12.81,0,0,0,0,0,0.82,0,5.58,0,0.66,13.26,0,0,0,0,0,0.92,0,0,0,0,7.55,0,0,0,0
 96-106,0,0,0,0,9.14,0,0.64,3.51,0.77,0,0.68,0.95,0,0,0,0.85,0,1.34,5.72,0,0,0.74,0,0,0.84,0,0,0,0,0,0,3.6,0,0
108-118,0,0,0,1.56,4.08,0,0,3.63,0,0,0,0,0,0.51,0,2.77,0,4.13,13.77,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0.54,0
120,0,0,0,4.7,11.18,0,0,2.82,0,0,0,0,0,0,0,2.29,0,2.62,28.21,0,1.45,0,0,0,1.04,0,0,0,0,0,4.74,0,0,0
