stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,gut,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,93.62,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0
  5-6,39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,41.71,0,3.6,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,18.87,0,0,0,10.74,0,0
 14-21,0,0,0.84,0,0,0,0,2.33,0,1.27,3.01,0,0,0,0,0,0
 24-34,0,0.71,0,0,0,0,0,0.86,0,0.7,0,0,0,0,0,0,1.67
 36-46,0,0,0,0,0,0,0,0,0.82,0,3.65,0,0,0,0,2.55,0
 48-58,0,1.33,0,0,0,0,0,0,0,0,2.36,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,2.82,0,0,0,0,0,0,0,0,0
 84-94,0,6.92,0,0,0,0,0,1.37,0,0,0,0,0,4.56,0,0,0
 96-106,0,2.04,0,5.99,0.6,10.1,0.93,0,0,0,0,0,0,0,0,0,0
108-118,0,3.26,0,0,1.51,0,1.46,0,0,0,4.93,2.71,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,14.64,0,0,3.18,0,1.14,0
