stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.35,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.68,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7,0,0,0,3.86,0,3.37,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.87,0,0,0,7.17,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.26,0,6.45,3.35,0,0,2.48,0,0,33.8,0,0,0,0,0
 24-34,0,0,4.04,4.43,0,0,6.66,0,0,7.4,0,0,0,0,0,4.09,8.52,2.44,0,0.63,645.53,0,67.4,19.84,0,0,3.46,3.9,0,189.82,0,0,0.93,0,0
 36-46,0,0,1.4,0,0,0,29.81,0,0,0.85,0,0,0,0,0,5.56,0,2.42,0,2.12,1728.11,0,78.08,19.38,0,0,11.1,1.03,0,270.92,0,0,0,0,3.32
 48-58,0,0,0,11.32,2.61,0,167.92,2.79,0,14.96,0,0,0,0.49,0,6.71,6.37,14.45,1.58,0.57,3007.47,0,40.99,22.64,0,0,0.8,0.85,3.57,400.94,0,0,6.37,0,0
 60-70,0,0,4.39,11.28,0,0,686.23,6.28,0,45.94,0,0,1.34,0,0,4.21,0,5.85,0,1.81,4495.9,0,46.01,19,0,0,8.45,0,1.33,464.31,5.03,0.63,0,0,6.68
 72-82,0,0,11.12,10.46,2.23,0,893.3,0,0,40.25,2.48,1.15,0.98,1.63,0,22.15,0,51.47,8.28,4.05,4644.63,0,64.34,34.53,0,0,2.77,0.73,0,327.88,5.04,0,2.47,0,29.74
 84-94,0,0,7.29,19.89,14.84,0,635.31,0.66,0,40.21,10.33,0,3.76,0.8,0.6,11.41,0,24.49,1.17,1.55,3202.34,0,54.78,77.15,0,0,7.95,0.67,0,209.83,23.08,0,0,1.75,0
 96-106,0,0,5.49,9.5,5.66,0,581.49,0,0,79.51,9.11,0,4.2,2.32,0.75,44.27,28.25,50.43,1.75,2.2,2513.45,0,81.15,45.63,0,4.36,4.4,0.78,0,108.61,14.9,0,5.05,1.14,12.46
108-118,0,0,3.47,36.33,4.19,0,641.98,0,0,42.03,2.95,0,9.21,0.55,0.95,28.54,1.08,59.65,3.55,0.6,3134.57,0,46.8,47.81,0,1.49,2.89,1.48,0,99.81,32.57,0,3.38,1.03,0
120,0,0,16.78,59.5,0,13,616.92,1.01,31.86,56.78,8.01,0,20.52,0,0,37.7,0,25.09,13.3,0,5341.16,3.33,48.59,52.83,0,0,10.34,2.39,0,79.24,21.5,0,2.09,3.15,0
