stage,axial,blastomeres,endocrine_pancreas,endoderm,exocrine_pancreas,eye,glial,gut,heart,ionocyte,mucous,neural,olfactory,otic,periderm
  3-4,13.67,177.36,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.23,114.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,11.46,0,0,0
 14-21,0,0,2.48,0,0,0,0,0,0,0.9,0,0,0,0,0
 24-34,0,0,0.84,0.64,0,0,0,0,0,0,0,0.69,1.25,0,0
 36-46,0,0,0,0,0,0,0,0,0.93,0,0,0,0,1.82,0
 48-58,0,0,0,0,0,0,2.76,0,0,0.52,0,3.31,0,0,0
 60-70,0,0,0,0,0,0,2.78,0,0,0,0,1.95,0,0,0
 72-82,0,0,0,0,0,0,14.4,0.7,0,0,0,5.67,0.52,0,0
 84-94,0,0,0,0,0,0,11.47,0,0,0.6,0,0,6.35,0,2.62
 96-106,0,0,0,0,0,1.49,16.21,0,0,0,2.02,0,0,0,0
108-118,0,0,0,0,12.48,0.87,4.81,0.57,0,0,0,0,1.4,0,1.67
120,0,0,0,0,0,0,7.05,0,0,0,0,0,0,0,2.51
