stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.24,0,10.35,0,2.61,0,0,97.93,0.92,0,0,0,0,0,0,2.58,0,0,2.81,44.9,1.04,1.58,2.96,7.41,0,0.97,32.95,1.23,0.81,178.12,0,0,1.12,0,0
 24-34,0,1.35,0.86,0,6.73,0.68,0.86,99.6,0.91,6.66,0.67,0,0,0,0,11.38,0,1.21,4.18,187.31,0.61,31.63,0,0,0,0,28.19,0,4.15,224.55,0,0,3.4,0,0
 36-46,0,0,0,0,6.22,0,4.37,124.8,0,2.57,0,0,0.94,0,0,9.07,0,0,3.43,174.06,0,53.1,1.44,0,0,0,19.19,0,0,202.23,0,0,0.74,0,0
 48-58,0,0,1.19,0,42.31,0,0,96.34,0.41,1.7,0,0,0,0.4,0,11.06,0,0,3.98,154.64,0,22.99,2.84,0,0,0,4.14,0,0,162.78,0,0,0,0,0
 60-70,0,0,5.42,0,30.3,0,1.96,68.76,0,0,0,0,0,2.95,0,23.42,1.53,0,2.35,119.38,0,45.65,4.62,0,4.67,0,15.5,0,0,144.1,0,0,0,0,0
 72-82,0,0,0,0,80.62,0,2.72,76.06,0,0.64,0,0,0,5.59,0,27.54,0,0.7,1.28,162.05,0,34.22,10.54,0,0,0,2.87,0,0,50.17,0.62,0,0.72,1.09,0
 84-94,1.78,0.59,1.45,0,24.02,0,5.06,63.39,5.26,0.8,0,0,0,0,0.83,30.82,0,0,0,49.77,0,21.02,15.59,0,0,0,7.46,0,0,41.25,0,1.63,0,2.51,0
 96-106,0,0,3.09,5.04,68.7,0,0,46.39,1.01,0,0,0,0.81,5.73,0,14.57,0,0,0,58.98,0.68,53.44,10.99,0,0,0,3.08,0,0,34.06,0,0,0,0.83,0
108-118,0.58,0.92,1.5,0,18.36,0.6,8.04,15,1.58,0,0.6,3.75,0.43,1.86,0,23.41,0.77,0,2.28,38.93,2.35,31.66,15.33,0,0,0,3.12,0,0,24.5,0,3.08,0.5,0,0.51
120,0,3.17,2.42,0,36.72,0,5.67,50.85,0,0,1.18,0,0,5.8,0,48.16,0,0,3.64,243.35,0,63.27,5.78,0,0,0,20.14,0,0,38.38,0,0,8.17,0,0
