stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,357.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,94.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.35,0,0,0,0,0,0,5.2,0,0,0,0,0,8.32,0,0,0,0,0,0,0,0,0,14.01,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.55,0,0,0,0,0,0,7.42,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.01,0,0,4.67,0,0,0,2.62,0,0,0,0,0,0,0,0,0,0,0,3.96,0,3.31,0,0,0,0,0,0,1.29,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,8.25,0,0,3.62,0,1.68,0,0,2.98,0,0,0.61,67.63,0,31.66,0,0,0,0,2.01,0.66,4.25,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,4.64,0,0,0,8.93,0,0,1.7,0,3.82,0,0,8.15,0.59,0,0,178.48,0.55,57.02,0,0,0,0,5.34,0,42.8,0,0,1.85,0,0
 48-58,0,0,0,0,0,0,0,10.61,0.5,0,0.69,5.63,0,5.42,1.65,0,1.24,0.38,0,1.78,0,0,0,240.12,0,23.19,0,0,0,0.59,1.99,0,100.51,0,0,1.95,0,0
 60-70,0,0,1.76,0,0,0,0,93.45,0,0,0,19.28,0,6.88,0.59,0,1.15,0,0,1.19,0,0,1.08,425.05,0,23.55,0,0,0,2.44,2.12,0,195.22,0,0,7.27,0,0
 72-82,0,0,1.93,0,23.65,0,0,109.07,0,0,0,9.1,2.36,2.31,0,0,0,0,0,12.53,4.12,0,0,716.3,0,64.28,0.84,0,0,0.5,4.46,0,287.68,3.59,0.84,11.93,0,0
 84-94,0,0,2.34,0,3.23,1.17,0.92,78.21,0,0.91,0,18.2,10.72,3.62,0,0,1.48,0,0.6,8.93,6.09,1.04,0.74,381.06,0,50.92,0,0,0,0,11.01,0,119.1,0,2.98,2.33,0,0
 96-106,0,0,5,0,10.87,0,0,85.44,0,3.79,2.8,36.78,10.71,0,1,0.66,0.99,1.8,0.59,22.11,6.72,0.76,1.26,461.56,0,69.45,1.23,0,0,0,4.9,0,94.55,0.87,0,7.01,0,0.8
108-118,0,0,5.64,0.65,0.72,0,4.1,47.69,0,0,0,41.92,31.58,2.74,0,0.58,2.33,0,0.76,37.07,10.74,1.08,0,507.58,0,66.55,0,0,3.2,1.99,12.32,0,64.44,0.5,0,4.88,2.84,0
120,0,0,0,0,0,1.34,1.6,83.74,0,0,0,90.05,14.27,0,0,0,6.28,0,3.28,14.53,15.9,15.43,0,509.22,0,52.64,0,0,0,1.49,23.2,0,46.63,0,1.52,6.68,0,0
