stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.84,12.43,2.95,0,7.57,0,0,0,2.05,0.85,2.24,0.93,0,1.18,0,0,0,0,6.97,0,0,9.64,144.04,3.43,1.44,1.38,1.82,0,0,1.9,8.32,0,0,13.33,52.56,0,0,0,0,0
 24-34,0.8,0.59,13.95,0.83,0,19.81,0,0.75,0,13.97,0.82,0.76,3.63,0,0.86,0.9,0.65,0.79,1.57,40.24,0.63,0,19.96,707.79,4.16,5.04,10.98,0,0,16.3,0,0,0,0,1.45,165.83,0,0,16.16,0,0
 36-46,0,0,4.36,0,0,124.64,0.64,0,2.15,19.75,0,7.5,1.67,0,0,0.81,0,0,0,36.27,0,0,10.27,867.51,0.72,2.01,4.79,0,0,10.68,0,0,1.76,6.69,0,186.45,0,0,9.41,0,0
 48-58,0.9,0,11.46,0.8,0,238.6,0.86,1.54,0.44,50.92,0,0.61,1.08,0.57,0,0,0.79,1.54,1.16,54.23,7.89,0.92,6.35,951.45,1.84,3.09,4.47,0,0.46,2.22,0,0,0.4,3.14,0,204.31,0,0,8.44,0,6.47
 60-70,0,0,7.34,2.04,0,442.52,1.29,11.42,0,33.76,0,6.28,3.24,5.58,0.58,0,0.63,0,0,107.75,0,3.5,9.04,975.02,1.63,4.75,4.2,0,0,13.68,0,0,0,0,0,175.32,0.84,1.9,5.59,0,14.88
 72-82,0.76,0,20.38,62.38,0,525.7,0,2.07,3.29,40.44,0,1.17,5.15,2.47,0.53,3.86,5.25,7.6,2.19,164.35,0,6.49,6.8,957.14,0,7.03,14.84,0,0,12.05,0,0,1.8,0,0,233.74,0.69,8.46,10.8,2.55,21.06
 84-94,0,0,11.19,55.15,0,353.96,0,1.35,1.1,44.74,0.76,0,2.58,6.01,3.92,2.77,1.86,0,5.44,134.26,0,7.92,11.24,723.36,1.34,20.09,17.46,0,0,53.03,0,0,0.67,1.11,0,135.78,1.34,2.61,5.32,2.97,16.99
 96-106,0,0,18.1,113.68,0,398.86,0.76,7.42,3.62,98.66,3.82,0,4.93,9.27,3.76,13.38,6.48,10.85,0,170.91,11.21,3.98,6.8,657.93,3.25,18.1,24.99,0,5.39,36.41,0,0,0.7,0,0,58.11,2.7,6.35,20.11,12.03,43.91
108-118,0,0,41.8,24.34,2.12,422.34,0.58,2,15.9,45.05,10.12,0,0,8.07,3.86,10.53,3.5,7.12,14.54,178.04,4.28,7.21,7.4,779.79,3.96,11.65,17.77,0,1.49,18.5,0,0,1.06,2.75,0,43.33,12.63,3.09,6.21,8.66,16.83
120,0,0,20.37,10.88,0,354.87,1.01,8.15,7.57,117.8,5.69,0,1.17,11.2,7.21,19.02,0,0,7.7,207.03,3.25,8.93,4.84,948.17,2.15,10.18,39.71,0,14.47,27.59,0,0,0,0,0,48.26,0,7.2,26.13,10.47,12.17
