stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,9.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.96,82.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.19,0,0,0,0,0,0,12.83,0,0,0,0,219.03,0,0,0,0,0,0,0,0,0,0,0,60.64,12.13,0,0,7.49,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.34,0,0,0,0,0,0,0,0,81.84,0,0,0,0,0,0,0,0,0,0,0,15.43,10.06,0,0,14.07,3.81,6.03,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.91,0.83,0,133.85,0,0,0.93,9.24,69.62,0,0,4.16,4.4,0,0,2.5,1.21,6.94,0,0,12.44,0,0,0,0,13.25,8.64,0,0,10.39,0,0,0,1.36
 24-34,0,0,0,0,1.26,0,0,444.85,0,0,0,3.66,51.61,0,0,36.54,24.12,2.46,0,0,2.18,108.66,0,0.85,49.44,0,7.12,9.72,0,22.96,0,0,0,28.5,0,1.06,0,8.03
 36-46,0,0,0,0,8.73,0.57,0,342.65,0,0,1.58,6.89,16.91,0,0,53.58,124.59,0.61,0,6.19,2.13,103.27,0,0,79.46,1.22,3.01,0,0,28,1.47,0,1.38,7.87,0,0,0,0
 48-58,0,0,0,0,0.8,0,0,299.89,0.99,0,0,1.9,25.52,1.08,0,27.72,104.74,1.29,0,0,8.96,96.26,0,0,92.92,0,2.67,0.54,0,8.4,0,0,0,5.04,0,0,0,0.98
 60-70,0,0,1.92,0.68,7.41,0,0,292.87,0.62,0.63,4.77,18.5,13.72,0,0.57,31.6,320.07,1.39,0,0,10.94,103.17,5.16,1.28,39.82,0,6.7,0,0,11.99,0,0,0,2.85,0,0.96,0,25.36
 72-82,0,0,4.65,0,1.46,0.84,0,229.35,1.23,0.98,0,47.54,7.16,0,1.41,3.08,292.92,16.76,0,0,5.51,156.92,1.81,0,45.26,0,8.94,0.55,0,4.94,0,0,0,9.11,0,0,0,0
 84-94,0,0,8.09,0,23.46,5.66,0,457.99,2.37,0,0.76,169.6,9.02,0,0.88,9.49,675.92,13.81,0,9.11,4.14,230.76,0,0,45.74,0,21.15,0,0,8.33,0,4.61,0,0,1.34,0,0,0
 96-106,0,0,0,0.72,9.12,0,2.28,262.06,4.32,0,4.53,215.41,5.56,0,0,4.45,644.28,36.21,10.05,0,12.19,275.7,0,0,47.28,1.28,22.86,0,0,15.54,0,3.54,0,14.24,2.22,0,0,0.86
108-118,0,0,0,1.62,6.72,1.49,0,271.29,1.07,0,3.65,267.43,0,0,1.91,4.9,1234.96,15,0.54,1.8,12.86,269.66,0,0,23.63,0,28.25,0,0,17.7,0,3.93,0,0,0,0,0.5,10.68
120,0,0,0,4.41,40.22,1.87,0,115.29,0,0,6.35,182.86,0,0,0,13.43,841.3,3.39,0,1.79,0,65.39,0,0,30.79,0,19.28,0,0,2.02,0,0,0,0,0,0,0,0
