stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
 14-21,94.82,3.84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.61,0,23.07,1.07,0,0,0,1,0,44.71,0,0,0
 24-34,77,1.18,2.64,0,1.59,0,0,0,1.17,0,0,0,0,0,0.7,2.21,0.93,0,0,0,904.52,0,41.37,14.77,0,0,0,0,0,140.52,0,0,0
 36-46,59.55,0,1.84,0,23.8,0.7,0,0,12.13,0,0,0,0,0,10.03,0,2.62,0,0,0.72,2610.37,0,56.16,13.16,0,0,0,0,1.07,258.91,0,0,0
 48-58,19.71,0,19.82,0,97.76,0,0,0,10.3,4.33,0,0,0,0,1.8,0,3.61,0.7,0,7.03,2900.45,0,27.18,23.91,3.66,0.43,0,7.59,0,234.57,0,0,16.58
 60-70,39,0,6.03,0,159.92,0,0,0,47.06,3.49,0,4.63,0,0,2.2,5.16,7.42,0,0,7.11,3180.37,0,18.53,27.35,0,0.81,0,0,0,253.6,0,0,7.19
 72-82,106.7,0,10.51,0,227.79,0,0,3.99,51.86,24.35,0,0,0,5.83,8.63,0,15.69,0,0,3.26,3710.77,0,33.83,36.65,0,2.86,0,0,0,244.12,4.26,0.82,7.77
 84-94,96.33,0,9.46,0,238.45,0,0,0.62,72.46,60.4,0,0.6,0,0.67,12.08,8.33,16.53,0.75,1.32,3.64,2635.99,0.65,32.3,97.15,0,3.67,0,0,0,96.77,8.49,0,0
 96-106,124.94,0,7.33,2.72,233.51,0.78,1.57,1.65,38.64,61.45,0,0,0,0,23.79,0,34.54,0,0,1.57,2482.86,0.91,39.34,122.04,0,4.19,2.7,0,0,106.94,0,0,0
108-118,82.92,0,28.17,5.85,173.85,0,0,1.02,60.24,42.78,0,3.01,2.41,1.76,22.86,8.58,23.99,0,3.6,0,3515.88,0,21.77,72.54,0,3.38,0,0,0,99.48,3.35,1.3,4.66
120,33.37,0,15.9,0,110.87,0,0,0,30.73,32.76,8.94,7.77,0,0,32.96,0,12.17,0,0,10.45,3308.34,0,26.44,66.03,0,3.54,0,0,0,77.59,0,0,0
