stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.14,3.67,0,0,5.1,0,0,5.55,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,3.02,0,0,0,14.15,0,0,0,0,0,0,0,2.06,0,0,0,4.58,0,0,0,0,0
 24-34,0,0,0.61,0,0,1.94,0,0,0.63,0,0,0,0,0,0,0,0,0,0,196.73,0,0,0,0,0,0,0,0,0,0,0.61,60.59,0,0,0,0,0
 36-46,0,0.73,0.73,0,0,1.81,0,0,4.3,0,0,0,0,0,0,3.23,0,0,0,445.06,0,0,0,0,0,0,0,0,0.88,0,0,101.21,0,0,0,0,0
 48-58,0,0,0.5,0.38,0,34.63,0,0.97,12.3,0,0,0,0,0,0,12.41,0,4.37,5.48,758.08,0,0,0,0,0,1.74,0,0,0,0,0,104.42,0,0,0,0,0
 60-70,0,0,0,0,0,54.55,0,0,6.77,0,0,0,0,0,0,4.5,0,0,0,1200.14,0,0,0,0,0,0,0,0,0,0,0,108.02,0,0,1.16,0,0
 72-82,0,0,7.01,7.72,0,152.11,0,1.25,15.38,1.36,1.47,0,0.83,0,0,24.16,0.67,0.57,1.28,1564.95,0,1.18,0,0,0,6.95,0,0,0.63,0,0,144.1,0,0,2.84,1.16,7.13
 84-94,0,0,5.66,1.6,0.59,162.43,0.68,0,13.78,0,4.04,0,0,1.42,0,13.19,1.01,5.63,1.19,1058.17,0,2.53,2.05,0,0,1.27,0,0,0,0,0,66.36,2.52,0,0,0,0
 96-106,0,0.9,5.3,3.32,0,136.9,6.32,9.71,13.02,0,2.2,1,1.97,0.58,15.12,29.03,1.75,0,1.57,1006.32,0,0.57,0,0,0,5.29,0,0,2.23,0,0,44.24,0,3.7,0.56,0.81,0
108-118,0,0,0,1.3,0,135.98,1.14,0,7.07,0.87,1.02,0,0,0,0,11.43,0,2.34,0.95,1140.12,6.81,0,0,0,0,6.52,0,0,0,0.67,0,31.5,0,1.3,0,1.03,5.99
120,0,0,2.85,1.61,0,165.41,20.77,0,22.01,0,10.06,1.11,0,0,19.38,15.06,0,2.4,0,2274.48,0,3.27,0,0,3.68,1.44,0,0,0,0,0,64.47,0,0,2.78,0,0
