stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,otic,periderm,spinal.cord,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0
 10-12,0,0,4.51,0,0,0,0,0,0,0,0,3.11,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0
 24-34,0,0,0,0,0,0,0.71,0,0,0,0,1.35,0,16.22,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.85,1.54,0,20.45,0.65,0
 48-58,0,0.81,0,0,0,0,0.44,0,0,0,0,0,0,13.04,1.22,0
 60-70,7.45,0,0,0,0,0,0,0,0,0,0,8.48,0,22.39,0.96,0
 72-82,0.82,0,0,0,0.56,0,0,1.15,0,0,0,8.28,0.56,13.14,0,0
 84-94,1.02,0,0,3.54,0,0,0.68,0,0.61,0,0,0.7,0,64.57,0,0
 96-106,1.13,0.99,0,0,6.71,0,0,0,0,0,0,0,0,80.86,1.09,0
108-118,3.85,0,0,0,0.83,0.42,0,1.68,2.56,0.51,0,0,0,67.69,0,0
120,4.22,0,0,0,0,0,0,0,0,0,0,0,0,23.27,0,13.21
