stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.05,51.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.58,0,0,0,0,0,0,0,0
  5-6,0,9.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.15,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,0,0,0,0,43.18,8.43,0,0,8.53,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,16.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.56,30.44,0,0,33.06,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,1.85,5.01,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,2.06,0,0.99,64.47,0,0,0,0.84,0,0,1.34,0,29.66,0,0,0,0,0
 24-34,0,0,2.51,1.51,3.66,0,2.18,0,1.11,0,1.73,0.63,0,0,0,0,8.29,0,0,10,0,6.44,530.47,0,2.19,9.62,0,0,1.94,0,0,214.42,0,0,11.7,0,0
 36-46,0,0,0,3,0,0,9.86,0,2.79,0.6,8.2,0.72,0,0,0,0,8.78,0,0,26.71,0,1.31,908.91,0,0.66,22.45,0,0,4.43,0,0,225.88,0,0,0,0,3.49
 48-58,0,0,0,9.09,0,0,42.08,0,0,8.79,24.36,0.98,0,0,0.42,3.42,2.83,0,0,47.45,0.37,3.06,1118.21,0,0,5.35,0,0,4.12,0,0,234.52,0,0,1.91,0,4.09
 60-70,0,0,0,2.45,0.65,0,105.82,0,3.17,3.89,30.75,0,0,0,3.92,0.71,10.63,0,0,109.31,7.7,2.66,1054.87,6.77,4.48,25.94,0,0,9.85,0,6.41,215.78,0,0,1.71,0,11.35
 72-82,0,0,0,1.67,0.59,0,122.52,0,0,9.01,42.96,0.85,0,1.06,1.02,0,18.05,0,0,258.39,3.94,12.68,980.79,0,0.49,21.11,0,0,0,0,0,138.43,0,1.79,9.88,6.88,0
 84-94,0,0,0,16.64,1.79,0,105.64,0,0,10.78,28.82,4.33,0,0,2.02,9.44,14.97,0,4.83,176.22,19.34,5.24,673.48,1.43,2.47,36.67,0,0,0,0,0,105.93,4.99,6.64,1.16,17.1,1.5
 96-106,0,0,1.05,13.87,3.11,1.23,82.14,1.64,0,1.02,51.35,0.86,0,1.55,4.47,12.85,37.26,1.13,0,220.11,3.28,3.31,553.51,0,9.41,42.46,0,0,6.4,0,0,48.14,0,5.95,0.65,5.24,3.35
108-118,0,0,2.46,15.43,3.2,0.43,109.65,0,0,2.74,24.16,4.25,0,0,2.79,12.88,16.41,8.25,0,295.16,3.69,5.25,707.56,0,3.28,47.22,0,3.23,0,0,0,35.08,0.68,5.85,1.03,6.74,0
120,0,0,0,2.04,12.15,0,138.38,0,4.18,5.71,84.06,3.16,0,2.27,9.62,0,28.49,0,0,276.26,0,1.82,1422.91,0,7.77,89.2,0,0,6.41,0,0,39.95,5.98,0,0,6.89,0
