stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,145.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.89,0,0,0,10.99,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.04,7.26,0,0,5.91,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,0.88,0.99,0,5.05,0,0,0,0,0,1.39,0,0,0,0,3.49,0,0,3.03,23.29,0.94,0.86,0,0,0,8.34,0,2.48,5.65,4.97,0,0,0,0,0
 24-34,0,0,0,0.59,0,0,1.42,0,0,0,0,0,0,0,0,0,0,6.72,0,0,3.16,16.16,0.66,0,0,0,0,0,0,0,1.55,2.91,0,0,1.46,0,0
 36-46,0,0,0,1,0,0,22.44,0,0,0,2.08,0,0,0,0,0,0,6.39,0,0,1.21,15.27,0,0,0.85,0,0,0,0,0,0,5.9,0,0,0,0,0
 48-58,0,0,0,0.4,0,0,153.5,0,0,0,1.27,0,0,0,0,0,0,8.77,0,0.45,0,14.82,0,0,0.41,0,0,0,0,0,0,4.39,0,0,0,0,0
 60-70,0,0,0,3.99,0,0,1347.28,0,0,0,2.44,0.64,0,0,0,0,0,3.11,0,0,2.66,26.4,0,0,0,0,0,0,0,0,0,1.84,0,0.83,0,0,0
 72-82,0,6.54,0,3.82,1.11,0,4714.93,0,0,1.74,57.68,0,0,0,0.57,3.49,0,18.64,0.83,0.93,0,197.4,0,0,0,0,0,0,0,0,0,4.1,5.89,2.64,2.15,0.67,0.52
 84-94,0,0,0,3.83,7.8,0,3675.66,2.56,0,0,62.48,0,0,0,1.86,2.05,0,10.22,0,0,1.26,136.19,1.25,0,0,0,0.74,0,0,0,0,0,0,0.64,1.61,0.64,0
 96-106,0,1.82,0,18.49,10.29,1.07,5927.09,0,3.86,0,76.98,1.35,0,0,0.81,8.71,7.73,27.18,0,3.22,2.35,145.63,0,0,0,0,7.95,0,0.7,0,0,0,4.97,4.06,0.65,1.03,0
108-118,0,0,0,1.63,1.65,0,5218.6,0,1.45,1.3,40.61,1.32,0,2.01,1.72,9.57,0,25.9,0,0,0,212.63,1.69,1.67,11.18,0,0.95,0,0,0,0,1.87,0.71,0.77,2.54,3.8,0
120,0,0,0,46.26,1.98,0,2394.13,0,0,0,93.97,1.38,0,0,0,0,0,5.88,0,0,3.46,138.05,0,7.24,0,0,0,0,0,0,0,17.15,0,0,0,0,0
