stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,80.42,1682.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.63,0,0,0,0,0,0
  5-6,65.25,1083.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.34,0,0,0,0,9.26,0,0,0,0,0,0
  7-9,0,0,0,10.86,0,0,5.09,0,0,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0,82.11,0,0,0,36.15,0,9.95,0,0,0,0,0
 10-12,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.08,11.12,0,0,3.12,0,6.03,0,0,0,0,0
 14-21,0,0,2.43,0,0.82,0,0.85,0,0,1.11,0,4,0,0,0,0,0,0,0,0.83,0,0,0,36.98,0,0,0,0,0,0,0,39.52,0,0,0
 24-34,0,0,1.72,0,0,0,12.18,0,0,1.81,0,4.47,0,0,11.59,0,0,0,7.95,1.57,0.93,0,0,228.73,0,21.44,7.53,0,0.73,0,0,86.39,0,0,0
 36-46,0,0,0,0,0.73,0,32.16,0,0,0,0,18.5,0,0,12.88,1.97,0,0,37.23,2.54,1.49,0,0.79,400.27,2.15,24.93,7.27,0,0.75,0,0,89.52,0,2.72,0
 48-58,0,0,0.87,0,0,0,81.99,0,0,2.86,0.38,21.75,0,2.58,0.91,12.86,0,0,73.4,1.84,7.73,0,0.68,499.98,0,15.16,10.92,0,5.77,0,0,47.01,0,0,0
 60-70,0,0,0,0,1.97,0,209.73,0,0,7.31,0,6.52,0,0,3.44,28.55,0,0,13.75,7.56,6.04,0,0.84,581.62,0,7.63,19.73,0,0,0,0,73.81,0,0,0
 72-82,0,0,7.36,0,6.74,1,455.12,0,0.82,18.29,1.89,6.55,0,0,2.5,8.35,5.07,0,8.59,11.07,9.59,1.23,0,650.33,0,20.3,19.13,0,0,0,0,47.33,7.96,0.63,5.78
 84-94,0,0,3.7,0,8.81,0,284.27,0.56,1.79,16.1,4.69,9.87,0,2.25,7.54,34.52,3.4,0,11.09,6.49,8.58,0,0,478.99,0,7.83,24.15,0,10.73,0,0,21.85,1.55,1,0
 96-106,0,0,5.5,0,5.14,0,292.2,0.66,0,8.1,13.09,4.76,1.16,0.8,1.78,8.86,8.22,14.03,5.5,11.47,21.03,0,0,398.92,0,23.51,22.94,0,3.98,0,0,19.19,11,0.84,7.55
108-118,0,0,1.88,0,2.83,0,246.24,0.72,0,12.78,17.03,0,0,3.92,11.39,24.34,1.67,0,8.08,8.32,16.93,0,3.54,420.65,0.54,13.35,29.63,0,2.26,0,0,23.15,7.99,0,0
120,1.12,0,0,0,26.82,2.21,317.16,0,0,14.93,7.32,0,0,2.14,10.58,12.02,4.6,0,3.1,26.49,20.38,7.65,1.39,623.21,0,26.28,44.38,0,1.68,0,2.43,23.46,0,0,0
