stage,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,pericytes,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1.69,0,0,0,1.08,0,0,0,0,0,0,0,2.33,1.04,3.27,0,0,0,1,0.88,4.61,0,0,0
 24-34,0,0,0.73,0,0,0,0,0,0,0.68,0.61,0,2.78,3.15,11.63,1.06,0,0,0.85,0,1.19,0,0,0
 36-46,0,0,0.58,0,0,0,0,0.77,0,0,0,0,6.64,0,2.74,3.57,0,0,1.7,0,0.71,0,0,2.71
 48-58,3.52,0,1.68,0.56,6.63,1.54,0,0,0,0,0,1.41,8.1,2.16,13.61,5.74,0.42,0,0,0,1.5,0,0,0
 60-70,0,0,6.68,0,1.23,0,0,0,0,0,0,5.31,9.2,0.79,9.03,2.52,0,0,0,0,0,0,0,4.89
 72-82,0,0,1.35,0,5.08,0,0,0,0,0.6,0,0,9.27,2.15,18.14,2.2,0,0,0,0,1.37,0.99,1.93,0.5
 84-94,0.59,0,0.71,0,2.92,0,0,0,0.68,3.34,0,0,15.7,0.98,14.72,6.55,0.55,0,0,0,0,0,0,1.39
 96-106,3.17,0,9.15,0,4.01,0,0.65,0,0.79,2.23,0,0.77,12.67,1.21,9.04,7.13,1.83,0,0,0,3.18,0,0,7.43
108-118,0,1.01,2.02,0,0,0,0.43,1.36,0.91,5.75,1.35,1.95,8.57,0,11.09,4.53,0.45,0.86,0.61,0,0,0,0.86,6.26
120,0,0,0,0,0,0,0,0,0,0,0,0,1.06,1.01,1.19,0,0,0,0,0,0,0,0,8.94
