stage,epidermis,gut,ionocyte,neural,taste
 72-82,0,37.89,0,0,0
 84-94,0,0,0,0,0.55
 96-106,0.99,0,0,1.39,0
108-118,0,11.56,0.83,0,0
120,0,7.51,0,0,0
