stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,43.4,84.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,8.95,0,0,0,0,0,0,0,0,42.91,0,0,0,27.74,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.08,0,0,0,4.05,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.94,0,0,0.85,0.82,0,0.9,0,0,0,1.96,8.26,0.83,0,0,0,0,1.07,0.99,0,2.27,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0.62,0,16.56,0,1.36,0,0,1.22,0,0,0.63,1.56,0,0,0.64,0,0
 36-46,0,0,0,0,0,4.04,1.94,0,0,0,0,0,0.68,0,30.74,0,0,0,0,0,0,0,0,3.12,0,0,0,0,0
 48-58,0,0,0,0,0,6.46,0,0,0,0,0,0,1.79,6.53,16.26,0,0.84,0,0,0,0,0.85,0,0.93,0,0,2.15,0,0
 60-70,0,0,0,0.65,0,26.23,0,0,0,0,0,0,7.85,0,26.9,0,0,0,0,0,0,0,0,7.94,0,3.01,9.78,0,0
 72-82,0,0,0,0,0,2,5.06,0,0.98,0,0,0.62,6.04,0,9.84,0.52,0,0,0,0.96,0,2.41,0,0,0,0,2.73,1.16,0
 84-94,0,0,1.55,0,0.87,2.34,0,0,0,0,0,1.14,0.98,0.56,9.6,0,0,0,0,0,0,5.49,0,0,2.5,0,4.12,0,0
 96-106,0,0,0,0.63,0,8.76,3.12,0,0,0.56,0,2.77,1.79,0,10.36,0,0,0.58,0,3.89,0,14.02,0,0,0,0,8.32,0,0.63
108-118,0,0,0,0,0,9.42,8.89,0,0.88,0,0,1.91,15.82,0,12.89,0,0,1.23,0,3.25,0,17.06,0,0,0,0,4.12,0,0
120,0,0,0,3.19,0,22.3,0,1.34,3.09,0,2.62,8.35,3.17,0,10.7,0,0,0,0,1.1,0,6.4,0,0,0,0,0,0,0
