stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.87,0,0,0,9.72,0,0,0,5.54,0,0,0,0,0,0,0
 14-21,0,0,2.55,0.9,0,0,0,0,0,1.11,0,0,0,0,0,0,0,1.76,0,0,0.87,41.86,0,0,0,0.98,0,0,1.12,0,0,11.3,0,0,0,0,0
 24-34,0,0.66,1.28,0,0,1.76,0,0,0,0.82,0,0,0,0,0.82,9.04,0,9.64,0,0,1.61,99.18,0,0,0,0,0,0,0,0,0,29.92,0,0,0,0,0
 36-46,0,0,0.8,0,0,5.29,0,0,0,0,0,0,0,0,2.31,0,0,4.23,0,0,0,358.81,0,4.52,0,0,0,0,0,0,0,69.2,0,0,0,0,0
 48-58,0,0.46,0,0,0,37.01,0,0,2.57,0,0,0,0,2.64,0,0,0,4.15,0,0.87,2.34,530.41,0,8.3,0.43,0,0,2.93,0,0,0,98.57,0,0,1.21,0,0
 60-70,0,0,0.9,0,0,197.92,0,0,4.96,0,0,0,0,0,0,0,0,7.13,0,0,0,707.52,0,2.3,0,0,0,0,0,0,0,89.27,0,0,0.85,0,0
 72-82,0,0.87,1.84,0,0,188.65,0,1.57,7.63,4.66,0,5.7,0,2.26,0,0,0,5.76,3.47,0,0.69,530.46,7.76,0.75,0.75,0,2.4,0,0,0,0,56.57,0,0.52,0,0,1.32
 84-94,0,0.98,0.63,0,0,115.03,0,0.94,9.09,0.58,0,0,0,1.13,0,0,0,11.65,0,0.6,1.16,313.55,0,4.26,2.95,0,0,0,0,0,0.62,42.71,0,0,2.46,0,0
 96-106,0,0.88,4.38,2.74,0,141.38,0,0,13.78,0,1.46,0.66,0.58,1.05,0,7.16,0,12.68,5.14,0.85,0,237.75,0,4.19,1.04,0,0,0,3.39,0,0,9.33,0,2.74,5.04,0,0
108-118,0,0.61,7.86,0,0,110.44,0.64,0,10.2,1.87,0,0.87,0,0,0.51,0,0.5,17.77,0,0,0.51,369.68,0,11,2.97,0,8,0,0,0,0,5.6,1.13,0,1.19,1.13,0
120,0,0,1.59,20.15,3.69,85.58,0,0,10,0,0,0,0,3.91,0,0,0,27.83,0,6.89,0,530.5,0,2.28,2.34,0,5.07,1.33,0,0,0,18.63,0,0,4.84,0,0
