stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.43,0,0,0,0,0,0,0
  5-6,31.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,9.06,0,0,0,0,0,0,0,0
 14-21,0,2.39,0,0,1.75,0,0,0,0,0,0,3.77,0,0,0.92,2.54,0,0,0,0,0,0,16.12,0,0,0,0,0
 24-34,0,0,0,3.19,0,0,0.63,0,0,0,0,0,0,0,0,132.72,0,1.45,0,0,0,0,118.11,0,0,0,0,0
 36-46,0,0,0,3.43,0,0,6.03,0,0,0,0,0,0.66,0,0.58,282.42,0,2.6,0,0,0,0,146.69,0,0,0,0,0
 48-58,0,0,0,19.22,0,0,5.75,0,0,0,0,3.96,0.47,0,0.52,537.8,0,2.82,0,0,0,0.9,146.94,0,0,0.48,0,0
 60-70,0,0,0,114.51,0,0,7.61,0,0,0,0,0,2.74,0.93,0,855.57,2.9,5.82,0,0,0,0,93.64,0,0,0,0,0
 72-82,0,4.81,0,197.23,0,0,32.45,0.85,0,0,3.7,0,21.25,0,1.47,1219.61,0,14.1,0,0,0,0,122.57,0,0,1.08,0,1.68
 84-94,0,4.42,4.52,196.91,4.74,1.86,16.46,1.94,1.3,0.82,0,0,13.26,0,3.82,989.06,0,5.14,0,0,0,0,107.53,0,0,0,0.64,0
 96-106,0,4.2,10.33,247.87,0,0,20.8,1.1,0,0,0,0,19.1,0,1.33,993.86,0,7.44,0,0,0,0,31.81,0,0,0,0,0
108-118,0,15.24,0,364.45,0,0.65,27.45,0.58,0,0,0,0,10.73,0,0,1318.04,0.54,9.87,0.58,0,0,0,57.86,0.89,1,1.18,1.9,1.68
120,0,25.89,0,555,0,0,86.62,0,3.47,0,0,0,26.14,0,0,2982.14,0,24.15,0,0,0,0,109.66,0,0,2.15,0,0
