stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,154.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.6,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.58,0,0,7.53,4.29,8.64,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.29,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,72.13,0,0,12.33,0,0,0,8.62,0,0,0,0,0,0
 14-21,0,2.51,1.91,30.83,4.22,0,1.56,1.81,0,0.98,2.71,0,0,0,6.38,0,0,0.88,5.49,0,1.98,28.48,0.92,4.14,1.88,4.47,0,5.28,2.03,2.81,12.33,0,0,0,0
 24-34,0,0.6,1.47,13.62,0,0,0,1.67,0,0,0.67,0.76,1.73,0,0.77,5.54,0,6.14,4.86,1.74,0.85,24.32,7.9,6.34,0,27.75,0,0,1.24,0,3.82,0,0,2.26,0
 36-46,0,0,0,7.43,0,0,0.61,0,0,1.69,1.18,0,0,0,1.41,0,0,8.48,2.35,2.68,1.42,23.97,10.81,2.84,0,9.66,0,0,0,0,4.82,0,0,0,0
 48-58,0,0,0,6.08,0,0,3.75,0.75,0,0,0,0,0,0,0,0,0,0.91,1.64,2.1,0,17.22,0.71,0,0,16.23,0,0,0,0,5.77,0,0,0,4.37
 60-70,0,0,0,6.98,0,0,12.91,4.8,1.83,1.05,0.85,0,0,0,0.58,10.16,0.87,8.71,1.3,0,0,17.02,10.09,0,0,11.44,0,0,0,0,4.92,0,0.57,0,0
 72-82,0,4.35,0,10.64,0,0,23.27,1.6,0,0.86,2.8,0,0,0,0.55,4.2,0,0,1.44,0,0.5,12.97,7.81,2.99,0,6.62,0,0,0,0,2.95,7.23,0,0,0
 84-94,0,0.8,0,11.37,0,0,37.73,1.62,0,2.65,6.54,0,0,0,0.72,2.66,3.15,0,2.05,8.6,0,15.48,3.33,8.01,0,23.67,0,0,3.38,0,6.16,4.42,0,0,0
 96-106,0,1.08,0,10.16,0,0,13.24,0,0,2.9,12.86,0,1.46,0.91,0.78,6.63,0.62,6.77,0,0,0,18.29,8.7,5.44,0,6.12,0,0,0,0,0,7.61,0,3.62,0
108-118,0,1.56,0,11.87,0,2.95,9.52,0,0,0,11.96,0,0,1.03,1.18,0.49,0,0.52,2.71,0,0,18.46,7.71,9.39,0,14.22,0,0,0,0,0,4.98,0,1.23,0
120,0,1.22,0,6.94,0,0,5.68,0,0,5.28,9.87,0,0,0,4.81,0,0,0,4.34,0,0,24.06,15.85,5.48,0,4.38,0,0,0,0,0,1.63,0,0,0
