stage,eye,mesenchyme,neural,spinal.cord,vasculature
 24-34,0,0,3.14,0,0
 36-46,0,0,2.27,0,0
 48-58,0,0,2.77,0,0
 60-70,0,0,12.52,0,0
 72-82,4.76,0,4.07,0,0
 84-94,0.79,2.01,1.2,0,0
 96-106,3.95,0,2.53,0,0
108-118,0,0,0,3.36,0.68
