stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.51,122.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.8,85.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.19,0,14.06,0,0,0,9.02,0,0,0,0,0,17.54,0,0,0,0,0,0,0,0,0,0,0,66.25,0,0,0,37.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.43,0,0,0,8.89,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,119.75,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,9.79,27.59,4.43,0,6.96,0,0,0,0.98,0,0,11.87,0,0,0,0,0,0,24.72,0,0,27.09,38.82,45.63,0,2.18,0,0,0,11.47,0.85,100.7,74.7,24,0,0,3.19,0,0
 24-34,0,0,1.43,7.68,0,0,10.29,17.71,0.62,0,9.87,0,0,1.49,0,0.77,0,0,0,0,82.8,0,1.21,74.02,108.69,11.09,0.75,4.79,0,0,18.78,0,10.55,43.97,54.17,37.28,0,0,11.17,0,0.69
 36-46,0,0,0,8.67,0,0,12.77,57.28,0,4.99,13.33,0.83,0,18.95,0,0.6,0,1.93,1.44,7.63,114.28,0,0.6,57.26,79.3,7.7,0,7.14,16.41,0,24.95,0,6.36,38.07,6.39,27.74,0,0,14.86,0,0
 48-58,0,0,0,6.91,0,0,21.47,39.61,2.45,4.88,25.84,0,1.43,2.13,0,0,3.27,3.09,0,0,98.57,0.82,8.44,25.26,57.94,2.36,0,5.65,0,0.56,20.66,0,0,17.7,0,33.3,0,3.02,12.54,0,1.94
 60-70,0.81,0,0,4.9,0,0,33.95,33.94,5.58,3.26,73.08,0.83,0.66,27.27,0,0,0.63,1.86,0,0,137.13,0,5.76,22.96,59.55,1.69,0,5.42,5.95,2.07,19.26,0,3.02,23.42,0,14.33,0,9.74,8.36,7.53,0
 72-82,0,0,0,4.62,23,0,28.14,18.85,2.79,21.85,46.29,1.69,0,1.73,1.21,1.26,0.63,4.89,5.27,0,176,0,6.51,22.49,48.64,0.91,0.74,16.23,0,3.63,5.53,0,1.17,9.03,0,26.76,0,7.36,11.77,14.74,0
 84-94,0,0,0,15.22,27.35,0,37.45,37.32,16.87,3.09,51.49,6.2,0,0.8,0,1.11,1.76,4.08,2.26,0,141.13,0,13.57,14.43,46.51,3.48,0,28.12,0,0,14.93,0,0,11.83,0,15.11,0.9,1.81,3.93,18.34,0
 96-106,0,0,0,13.11,60.56,0.97,40.46,13.45,2.47,11.34,68.62,0.94,0,6.01,0,0.63,0.57,9.59,0.93,0,133.24,0,9.52,25.12,56.6,0,3.32,26.11,0,0,24.42,0,0.82,22.24,0,21.6,0,19.43,12.28,39.46,0
108-118,0,0,0,17.56,25.31,8.27,45.86,23.64,3.92,3.35,45.51,1.49,0,5.96,0,1.7,7.06,10.25,1.18,6.49,113.82,0,4.68,16.86,37.49,5.3,0.43,23.67,0,2.25,11.15,0,1.61,22.35,0,6.64,0.81,9.91,19.86,22.72,0
120,0,0,0,35.92,31.29,3.72,32.58,40.45,14.18,29.45,72.01,0,0,0,8.01,1.77,2.63,8.47,2.33,0,278.22,0,2.75,19.48,34.47,6.89,1.7,87.11,0,0,13.76,1.12,1.02,13.33,0,8.45,1.19,4.84,3.9,60.83,0
