stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.09,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,6.68,0,0,0,0
 24-34,0,0.71,2.45,0,4.28,0,0,0,0,0,0,0,0,0,0,0,5.19,0,0,143.08,0,0,0,0,2.56,0,3.63,0,0,0,0
 36-46,0,0,1.61,0,2.18,0,0,0,0,0,1.46,0,0,0,0,0,4.22,0,0,873.91,0,0,0,0,0,0,22.09,0,0,0,0
 48-58,0,0,2.33,0,51.07,0,0.4,0.53,6,0.69,0,0.53,0,0,0,6.43,8.26,0.79,1.92,1043.21,0,0.81,0,0,1.41,3.46,16.42,0,0,0,2.8
 60-70,0,0,2.68,0,15.45,0,1.72,0,3.74,0,0,0,0,0,0,0,25.63,0,0,721.01,0,0,0,0,2.16,0,2.9,0,0,0,0
 72-82,0,0,0,0,29.35,0,5.52,0,9.98,0,1.24,0.53,0,0,0,1.89,39.08,0,0.49,1106.04,0,1.49,0.67,0,2.64,0,7.49,0,0.99,1.27,7.71
 84-94,0,0,11.97,0,36.47,0,6.54,0,3.12,0,0.78,0.8,1.38,1.2,0,0,36.86,0,0,1029.25,0,0,0.88,0,2.81,0,1.97,0,0,0,6.4
 96-106,0,0,74.19,3.97,40.9,2.68,2.79,1.06,24.28,0,2.8,0,1.05,0,3.52,0,30.55,0,0.81,1077.9,0,0,0,2.93,6.75,0,5.39,0,1.83,0,3.79
108-118,0,0,5.71,4.33,43.11,0,1.95,0,3.51,0,0.47,0.52,0,0,0,0,25.65,1.79,0,1691.49,0,3.52,0,0,11.07,0,2.99,0,0,3.09,0
120,0,0,4.57,0,35.22,0,0,0,0,0,0,0,0,0,0,0,33.78,0,0,1660.97,2.14,0,0,0,6.18,0,4.72,2.31,0,0,0
