stage,glial,mesenchyme,neural,olfactory,periderm
 14-21,0,0,0,0,1.61
 60-70,6.81,0,0.93,31.42,0
 72-82,0,0,6.1,15.19,0
 84-94,0,0,0,13.66,0
 96-106,0,0,0,6.42,0
108-118,0,1.1,0,1.93,0
