stage,blastomeres,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord
  5-6,9.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26
 36-46,0,4.5,1.35,0,0,0,0,1.06,0,0,1.78,0,0,0,1.1
 48-58,0,0,28.69,0,0,0,0,0.92,0,0,0.74,0,0,0,0
 60-70,0,0,36.04,0,0,1.06,0,1.17,0,0,4.8,0,0,0,0
 72-82,0,0,74.63,0,0.68,0,5.47,0.6,2.41,0,4.01,0,1.14,0.76,3.15
 84-94,0,0,112.71,0,0.59,0,0,3.85,0.67,0,6.23,0,0,0,0
 96-106,0,0,104.23,0.58,0,0,0,2.37,0,0,0,0,5.47,0,0
108-118,0,0,110.25,0,0,0,0,0.61,0,0.68,0,0,0,0,0
120,0,0,107.66,0,8.74,0,0,0,0,0,1.98,0,2.84,0,0
