stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,ionocyte,liver,mesenchyme,neural,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.83,0,0,0,0,0,0,0,0,0,22.62,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,26.23,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.89,0,5.95,0,0,0,1.16,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,8.41,0,8.22,0,0,0,5.14,0,0,0,0
 36-46,0,0,0,8.17,0,0,0,0,6.68,0.61,27.52,0,0,5.95,2.31,0,0,0,0
 48-58,0,0,0,19.44,0,6.83,0,0,3.78,2.06,20.48,0,0,3.65,2.15,0,0,0,1.55
 60-70,0,0,0,28.99,0,0.98,4.4,0,2.82,1.01,8.47,0,0,5.43,0.96,0,0,0,0
 72-82,0,0,2.41,52.01,1.17,4.23,7.38,0,15.73,0.91,36.63,3.1,0,1.51,1.45,0,0,0,0
 84-94,0,0,0,32.4,0,2.16,16.74,1.75,20.48,0,13.27,0,0,4.05,0.62,1.28,0,0,0
 96-106,0,14.12,0,39.34,0,2.54,40.13,0,62.49,5.89,48.41,0,0,2.49,0.57,0,2.32,1.84,0
108-118,0,2.59,1.29,39.13,0,0,35.32,0,104.18,3.46,44.03,0,0.72,13.24,0,0,0,0.72,0
120,0,3.18,0,58.1,0,0,29.92,0,68.3,0,87.98,0,0,0,0,0,0,0,0
