stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,13.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.42,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,19.14,25.94,0,14.59,6.59,0,0
 14-21,0,0,0,0,0,0,0,0,1.92,2.59,0,0,4.87,0,0
 24-34,0,0,0,0,0,0,0,0,24.3,0,1.71,0,10.88,0,0
 36-46,0,0,0,0,0,0,0,0,27.96,0,0,0,2.92,0,0
 48-58,0,0,2.03,0,0,0,0,0,43.59,0,0.62,0,0,0.49,0
 60-70,0,0,18.55,0,0,3.35,0,0,61.46,0,1.4,0,5.03,0.61,0
 72-82,0,0,22.64,0,0,0,0,0,156.24,0,1.21,0,5.03,0,0
 84-94,0,7.44,17.29,0.57,0,0,0,0,85.21,0,6.43,0,1.83,3.73,0
 96-106,0,2.2,11.04,0,0,0.67,1.38,0,102.77,0,0,0,3.33,0,0
108-118,0,0,7.22,0,1.42,14.92,2.14,3.64,85.77,0,1.12,0,3.48,0,0
120,0,0,17.23,0,0,0,0,0,64.67,0,0,0,2.31,0,19.96
