stage,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vasculature
 14-21,2.6,0,0.9,0,1.1,0,0.92,0,0,0,0.86,0,0,18,1.23,0,0,0,4.88,0
 24-34,3.36,0,27.98,0,0.77,0,0,0,0,0,9.34,0,0.69,183.42,0,0.89,0,0,29.47,0
 36-46,0.6,0,92.43,0,2.33,0,0,0,0,0,0.77,0,0.57,164.07,0,6.16,0,0,19.88,0
 48-58,0,0,111.05,0,6.95,0,0,1.22,0,2.84,12.83,14.14,1.73,92.89,0,0,0,0.62,7.58,1.57
 60-70,8.27,0,68.47,0,7.26,0,0,0,0,0,14.86,3.41,9.08,64.69,0,0,6.45,0,13.91,0
 72-82,2.34,0,17.03,0,3.5,0,0,0,0,0,7.73,0,0,30.52,0,0,0,0,0,0
 84-94,0,0,12.8,0.63,2.06,1.05,0,0,0,0,4.18,0,0.58,27.79,0,0,0.87,0.66,0,3.33
 96-106,0.77,0,4.7,0,0,0,0,0,0,0,0.75,0,0.93,5.99,0,0,0,0,0,0
108-118,0.6,1.62,2.93,0,0,0,0,0,0.87,0,1.39,0,0.54,10.46,0,0,0,0,0,0
120,0,0,26.41,0,18.74,0,0,0,0,0,0,0,0,38.31,0,0,0,0,0,0
