stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,141.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.85,0,0,0,0,0,0,0,0,0,0
  5-6,10,91.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.94,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.75,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.59,1.73,2.58,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0,0,0,28.28,10.26,1.1,1.02,0,0,0,14.29,0,19.12,245.04,1.23,0,0,1.63,0,0
 24-34,0,0,0,4.77,0,0,0,2.65,0,0,0,0,0,1.02,0,0,0,0,0,2.42,0.79,0,15.77,18.27,2.13,6.21,0,0,27.17,0,1.13,4.1,43.61,3.31,0,0,7.21,0,0
 36-46,0,0,0,6.94,0,4.28,14.91,2.55,0,2.15,0,0,0.56,2.18,0,0,0,0,0,1.54,0,0,23.34,27.74,2.75,1.79,0,0,31.16,0,0,1.3,0,3.38,0,0.85,9,0,6.43
 48-58,0,0,0,0.94,0,2.64,10.84,10.3,0,9.93,0,0,0,0,0,0,0,0,0.97,6.27,0,0,12.09,47.82,1.15,0.4,0,0,17.74,0,0,5.06,0,5.8,0,0,5.04,0,3.37
 60-70,0,0,0,13.42,5,19.48,9.47,10.29,0,10.94,0.65,0,0.69,4.35,0,0,0,0,0,3.74,0,1.27,19.04,68.47,1.1,0.65,0,0,22.72,0,0,1.25,0,9.92,0,0,10.48,0,0
 72-82,0,0,1.23,5.83,0.59,38.41,4.98,6.25,0,23.15,2.06,0,0,9.2,0,0,0.64,0,0,22.14,0,0,12.6,85.74,4.76,4.07,0,0,11.59,0,0,2.33,0,8.84,0,0,7.94,0,5.23
 84-94,0,0,0,9.14,0.76,26.14,8.75,12.75,0,11.08,6.86,0,0.79,7.13,0,0.79,0,0.83,0,10.35,0,0,15.49,114.86,2.33,4.92,0,0,36.44,0,0,9.54,0,5.36,0.86,0,16.11,0,0
 96-106,0,0,0,10.14,7.66,32.4,6.48,6.2,0,5.91,6.3,0,0,8.22,0.64,0,0,18.65,0,13.72,0,0,20.86,142.32,10.99,1.67,10.66,0.97,32.23,0,0,0.64,0,6.2,0.78,3.81,16.9,0,0
108-118,0,0,1.15,18.27,0.66,57.26,8.01,15.8,0,23.15,9.09,0,0.71,8.74,1.55,0.8,0,3.73,0.83,26.35,0.8,1.81,36.25,122.58,0.93,4.36,0,0,40.2,0,0,4.01,0,11.44,0,0,15.01,0,6.89
120,0,0,1.37,15.67,1.9,36.5,3.23,10.19,1.66,131.21,16.3,0,1.15,17.81,0,0,2.11,4.74,0,19.93,0,0,36.77,458.66,30.86,27.56,0,0,72.56,0,0,2.59,0,1.19,0,1.32,5.65,1.59,0
